"ground_truth_output","num_queries","original_output","original_score","original_text","perturbed_output","perturbed_score","perturbed_text","result_type"
0.0,76.0,0.0,0.006875574588775635,"bears is even [[worse]] than i imagined a movie ever could be .",1.0,0.9960014224052429,"bears is even [[pire]] than i imagined a movie ever could be .","Successful"
1.0,367.0,1.0,0.001990973949432373,"[[although]] estela bravo's [[documentary]] is cloyingly hagiographic in its portrait of cuban leader fidel castro , it's [[still]] a guilty pleasure to watch .",0.0,0.9326103329658508,"[[nonetheless]] estela bravo's [[paperwork]] is cloyingly hagiographic in its portrait of cuban leader fidel castro , it's [[once]] a guilty pleasure to watch .","Successful"
1.0,1.0,0.0,0.9987711906433105,"i have a new favorite musical -- and i'm not even a fan of the genre",0.0,0.9987711906433105,"i have a new favorite musical -- and i'm not even a fan of the genre","Skipped"
0.0,299.0,0.0,0.0005148649215698242,"it's [[lazy]] for a movie to [[avoid]] [[solving]] one problem by trying to distract us with the solution to another .",0.0,0.3752914071083069,"it's [[lethargic]] for a movie to [[evita]] [[resolves]] one problem by trying to distract us with the solution to another .","Successful"
1.0,221.0,1.0,0.002471745014190674,"[[even]] when he's not at his most critically insightful , godard can [[still]] be smarter than any 50 other filmmakers still at work .",0.0,0.8972935676574707,"[[again]] when he's not at his most critically insightful , godard can [[once]] be smarter than any 50 other filmmakers still at work .","Successful"
0.0,1.0,1.0,0.993793785572052,"more successful at relating history than in creating an emotionally complex , dramatically satisfying heroine",1.0,0.993793785572052,"more successful at relating history than in creating an emotionally complex , dramatically satisfying heroine","Skipped"
1.0,1.0,0.0,0.998732328414917,"it's unlikely we'll see a better thriller this year .",0.0,0.998732328414917,"it's unlikely we'll see a better thriller this year .","Skipped"
1.0,428.0,1.0,0.001867830753326416,"the story [[gives]] [[ample]] opportunity for large-scale action and suspense , which director shekhar kapur [[supplies]] with tremendous [[skill]] .",0.0,0.9538812637329102,"the story [[prescribes]] [[adequate]] opportunity for large-scale action and suspense , which director shekhar kapur [[foodstuffs]] with tremendous [[skills]] .","Successful"
0.0,290.0,0.0,0.0012558698654174805,"ultimately this is a [[frustrating]] patchwork : an uneasy marriage of louis begley's source novel ( about schmidt ) and an old payne [[screenplay]] .",1.0,0.9257593154907227,"ultimately this is a [[disenchanted]] patchwork : an uneasy marriage of louis begley's source novel ( about schmidt ) and an old payne [[arena]] .","Successful"
0.0,1.0,1.0,0.9787994623184204,"the threat implied in the title pokémon 4ever is terrifying  like locusts in a horde these things will keep coming .",1.0,0.9787994623184204,"the threat implied in the title pokémon 4ever is terrifying  like locusts in a horde these things will keep coming .","Skipped"
0.0,1598.0,0.0,0.0017235279083251953,"some [[writer]] [[dude]] , i [[think]] his [[name]] was , [[uh]] , [[michael]] zaidan , was [[supposed]] to have [[like]] [[written]] the [[screenplay]] or [[something]] , but , [[dude]] , the only [[thing]] that i [[ever]] [[saw]] that was [[written]] down were the [[zeroes]] on my [[paycheck]] .",0.0,0.0033638477325439453,"some [[author]] [[man]] , i [[believe]] his [[naming]] was , [[ah]] , [[miguel]] zaidan , was [[suspected]] to have [[genus]] [[typed]] the [[alphabet]] or [[nothing]] , but , [[buddy]] , the only [[somethings]] that i [[already]] [[noted]] that was [[wrote]] down were the [[zeros]] on my [[remuneration]] .","Failed"
0.0,39.0,0.0,0.0026917457580566406,"a sha-na-na sketch [[punctuated]] with graphic violence .",1.0,0.9972876310348511,"a sha-na-na sketch [[thunderous]] with graphic violence .","Successful"
1.0,376.0,1.0,0.0006294846534729004,"[[like]] the [[series]] , the [[movie]] is [[funny]] , [[smart]] , [[visually]] [[inventive]] , and most of all , [[alive]] .",1.0,0.30729979276657104,"[[similar]] the [[periodicals]] , the [[kino]] is [[odd]] , [[canny]] , [[audiovisual]] [[inventor]] , and most of all , [[inhabit]] .","Successful"
0.0,249.0,0.0,0.0004807710647583008,"perhaps even the slc high command [[found]] writer-director mitch davis's wall of kitsch [[hard]] going .",1.0,0.5027529001235962,"perhaps even the slc high command [[discovery]] writer-director mitch davis's wall of kitsch [[dur]] going .","Successful"
0.0,1.0,0.0,0.37850064039230347,"'es en verdad una pena que mandoki esté realizando cintas tan malas desde hace algún tiempo , pues talento tiene , pero quién sabe dónde lo tiene escondido . '",0.0,0.37850064039230347,"'es en verdad una pena que mandoki esté realizando cintas tan malas desde hace algún tiempo , pues talento tiene , pero quién sabe dónde lo tiene escondido . '","Skipped"
0.0,108.0,0.0,0.0004073977470397949,"the spalding gray [[equivalent]] of a [[teen]] gross-out comedy .",1.0,0.9968824982643127,"the spalding gray [[equals]] of a [[youthful]] gross-out comedy .","Successful"
0.0,39.0,0.0,0.0012192130088806152,"all [[mood]] and no [[movie]] .",0.0,0.002108633518218994,"all [[vibe]] and no [[cinematography]] .","Failed"
1.0,1.0,0.0,0.9993778467178345,"other than the slightly flawed ( and fairly unbelievable ) finale , everything else is top shelf .",0.0,0.9993778467178345,"other than the slightly flawed ( and fairly unbelievable ) finale , everything else is top shelf .","Skipped"
1.0,248.0,1.0,0.0019028782844543457,"[[despite]] an [[overwrought]] [[ending]] , the [[film]] [[works]] as [[well]] as it does because of the [[performances]] .",1.0,0.11295360326766968,"[[independently]] an [[edgy]] [[completion]] , the [[filming]] [[conjunction]] as [[okay]] as it does because of the [[performer]] .","Failed"
1.0,129.0,1.0,0.005985081195831299,"connoisseurs of chinese film will be pleased to discover that tian's meticulous talent has not [[withered]] during his enforced hiatus .",0.0,0.9952365159988403,"connoisseurs of chinese film will be pleased to discover that tian's meticulous talent has not [[bloomed]] during his enforced hiatus .","Successful"
0.0,240.0,0.0,0.0005165338516235352,"exploring value choices is a worthwhile topic for a film -- but here the choices are as [[contrived]] and [[artificial]] as kerrigan's platinum-blonde hair .",1.0,0.9143601655960083,"exploring value choices is a worthwhile topic for a film -- but here the choices are as [[supernatural]] and [[unholy]] as kerrigan's platinum-blonde hair .","Successful"
0.0,241.0,0.0,0.0006580948829650879,"a dark comedy that goes for sick and demented humor [[simply]] to do so . the movie is [[without]] intent .",1.0,0.9338575601577759,"a dark comedy that goes for sick and demented humor [[uncomplicated]] to do so . the movie is [[if]] intent .","Successful"
0.0,30.0,0.0,0.05234575271606445,"more trifle than [[triumph]] .",1.0,0.9750077128410339,"more trifle than [[triomphe]] .","Successful"
0.0,1.0,1.0,0.998518705368042,"entertains not so much because of its music or comic antics , but through the perverse pleasure of watching disney scrape the bottom of its own cracker barrel .",1.0,0.998518705368042,"entertains not so much because of its music or comic antics , but through the perverse pleasure of watching disney scrape the bottom of its own cracker barrel .","Skipped"
