,Unnamed: 0,ground_truth_output,num_queries,original_output,original_score,original_text,perturbed_output,perturbed_score,perturbed_text,result_type,bleu,sem,acpt_per,acpt_orig,acpt,id,original_text_raw,perturbed_text_raw
622,622,0.0,78.0,0.0,0.0008554458618164062,a good-looking but ultimately [[pointless]] political thriller with plenty of action and almost no substance .,0.0,0.4516178965568543,a good-looking but ultimately [[dispensable]] political thriller with plenty of action and almost no substance .,Successful,0.8153551038173115,0.9395307302474976,-37.31086349487305,-35.434600830078125,-1.8762626647949217,kuleshov-622,a good-looking but ultimately pointless political thriller with plenty of action and almost no substance .,a good-looking but ultimately dispensable political thriller with plenty of action and almost no substance .
123,123,1.0,74.0,1.0,0.000987410545349121,"in imax in [[short]] , it's just as [[wonderful]] on the [[big]] screen .",0.0,0.9522228240966796,"in imax in [[abridged]] , it's just as [[wondrous]] on the [[hefty]] screen .",Successful,0.31314224813827346,0.7710873484611511,-43.2398681640625,-40.71403503417969,-2.5258331298828125,kuleshov-123,"in imax in short , it's just as wonderful on the big screen .","in imax in abridged , it's just as wondrous on the hefty screen ."
844,844,0.0,54.0,0.0,0.0005248188972473145,eckstraordinarily [[lame]] and severely [[boring]] .,1.0,0.99534410238266,eckstraordinarily [[nought]] and severely [[piercing]] .,Successful,0.6042750794713536,0.32912373542785645,-46.13691329956055,-45.02569580078125,-1.1112174987792969,kuleshov-844,eckstraordinarily lame and severely boring .,eckstraordinarily nought and severely piercing .
429,429,1.0,348.0,1.0,0.0004979372024536133,"its use of the thriller form to examine the labyrinthine ways in which people's lives cross and change , buffeted by events seemingly out of their control , is [[intriguing]] , [[provocative]] stuff .",0.0,0.9991391897201538,"its use of the thriller form to examine the labyrinthine ways in which people's lives cross and change , buffeted by events seemingly out of their control , is [[puzzling]] , [[seditious]] stuff .",Successful,0.8746718302305597,0.9406832456588744,-43.128326416015625,-41.9531478881836,-1.1751785278320312,kuleshov-429,"its use of the thriller form to examine the labyrinthine ways in which people's lives cross and change , buffeted by events seemingly out of their control , is intriguing , provocative stuff .","its use of the thriller form to examine the labyrinthine ways in which people's lives cross and change , buffeted by events seemingly out of their control , is puzzling , seditious stuff ."
411,411,0.0,62.0,0.0,0.20325028896331787,"belongs in the too-hot-for-tv direct-to-video/dvd category , and this is why i have [[given]] it a one-star rating .",1.0,0.944175899028778,"belongs in the too-hot-for-tv direct-to-video/dvd category , and this is why i have [[granted]] it a one-star rating .",Successful,0.8492326635760689,0.958806037902832,-36.53837966918945,-35.77946472167969,-0.7589149475097656,kuleshov-411,"belongs in the too-hot-for-tv direct-to-video/dvd category , and this is why i have given it a one-star rating .","belongs in the too-hot-for-tv direct-to-video/dvd category , and this is why i have granted it a one-star rating ."
24,24,0.0,131.0,0.0,0.0006192922592163086,"directed in a [[flashy]] , empty sub-music video style by a director so self-possessed he actually adds a period to his first name",0.0,0.44918155670166016,"directed in a [[brilliant]] , empty sub-music video style by a director so self-possessed he actually adds a period to his first name",Successful,0.8787419089273848,0.9555267691612244,-42.84579086303711,-42.78530883789063,-0.060482025146484375,kuleshov-24,"directed in a flashy , empty sub-music video style by a director so self-possessed he actually adds a period to his first name","directed in a brilliant , empty sub-music video style by a director so self-possessed he actually adds a period to his first name"
456,456,1.0,617.0,1.0,0.0011088252067565918,"this kind of hands-on storytelling is ultimately what makes shanghai ghetto move [[beyond]] a [[good]] , dry , [[reliable]] textbook and what allows it to [[rank]] with its worthy predecessors .",0.0,0.9838985800743104,"this kind of hands-on storytelling is ultimately what makes shanghai ghetto move [[additionally]] a [[buena]] , dry , [[reputable]] textbook and what allows it to [[grading]] with its worthy predecessors .",Successful,0.6672475717740914,0.9003686904907227,-54.10577011108398,-50.62583923339844,-3.479930877685547,kuleshov-456,"this kind of hands-on storytelling is ultimately what makes shanghai ghetto move beyond a good , dry , reliable textbook and what allows it to rank with its worthy predecessors .","this kind of hands-on storytelling is ultimately what makes shanghai ghetto move additionally a buena , dry , reputable textbook and what allows it to grading with its worthy predecessors ."
865,865,0.0,148.0,0.0,0.0049721598625183105,the niftiest [[trick]] perpetrated by the importance of being [[earnest]] is the alchemical transmogrification of wilde into austen--and a hollywood-ized austen at that .,1.0,0.7974911332130432,the niftiest [[deceit]] perpetrated by the importance of being [[heartfelt]] is the alchemical transmogrification of wilde into austen--and a hollywood-ized austen at that .,Successful,0.778414310910921,0.9037532806396484,-47.3463249206543,-46.76068878173828,-0.5856361389160156,kuleshov-865,the niftiest trick perpetrated by the importance of being earnest is the alchemical transmogrification of wilde into austen--and a hollywood-ized austen at that .,the niftiest deceit perpetrated by the importance of being heartfelt is the alchemical transmogrification of wilde into austen--and a hollywood-ized austen at that .
82,82,1.0,54.0,1.0,0.003400862216949463,"unpretentious , charming , [[quirky]] , original",0.0,0.5974597930908203,"unpretentious , charming , [[demented]] , original",Successful,0.488923022434901,0.8750473856925964,-32.16397476196289,-31.33426856994629,-0.8297061920166016,kuleshov-82,"unpretentious , charming , quirky , original","unpretentious , charming , demented , original"
51,51,0.0,600.0,0.0,0.001592576503753662,"the first [[mistake]] , i suspect , is [[casting]] shatner as a legendary professor and kunis as a [[brilliant]] college student--where's pauly shore as the [[rocket]] scientist ?",1.0,0.7574489116668701,"the first [[misspelled]] , i suspect , is [[blown]] shatner as a legendary professor and kunis as a [[marvelous]] college student--where's pauly shore as the [[howitzers]] scientist ?",Successful,0.6148406922119201,0.9078627228736876,-55.39284133911133,-53.4990348815918,-1.8938064575195312,kuleshov-51,"the first mistake , i suspect , is casting shatner as a legendary professor and kunis as a brilliant college student--where's pauly shore as the rocket scientist ?","the first misspelled , i suspect , is blown shatner as a legendary professor and kunis as a marvelous college student--where's pauly shore as the howitzers scientist ?"
