,ground_truth_output,num_queries,original_output,original_score,original_text,perturbed_output,perturbed_score,perturbed_text,result_type,bleu,sem,acpt_per,acpt_orig,acpt,id,original_text_raw,perturbed_text_raw
0,0.0,5.0,0.0,0.006875574588775635,bears is even [[worse]] than i imagined a movie ever could be .,1.0,0.9960014224052428,bears is even [[pire]] than i imagined a movie ever could be .,Successful,0.7611606003349892,0.970099925994873,-41.169334411621094,-39.87664794921875,-1.2926864624023438,iga-0,bears is even worse than i imagined a movie ever could be .,bears is even pire than i imagined a movie ever could be .
1,1.0,756.0,1.0,0.001990973949432373,"[[although]] estela bravo's [[documentary]] is cloyingly hagiographic in its [[portrait]] of cuban leader fidel castro , it's [[still]] a guilty [[pleasure]] to watch .",0.0,0.9218078851699828,"[[nonetheless]] estela bravo's [[documentation]] is cloyingly hagiographic in its [[picture]] of cuban leader fidel castro , it's [[again]] a guilty [[revelry]] to watch .",Successful,0.4871622030691689,0.8177730441093445,-56.716861724853516,-52.84494400024414,-3.871917724609375,iga-1,"although estela bravo's documentary is cloyingly hagiographic in its portrait of cuban leader fidel castro , it's still a guilty pleasure to watch .","nonetheless estela bravo's documentation is cloyingly hagiographic in its picture of cuban leader fidel castro , it's again a guilty revelry to watch ."
2,1.0,1.0,0.0,0.9987711906433104,i have a new favorite musical -- and i'm not even a fan of the genre,0.0,0.9987711906433104,i have a new favorite musical -- and i'm not even a fan of the genre,Skipped,,,,,,iga-2,i have a new favorite musical -- and i'm not even a fan of the genre,i have a new favorite musical -- and i'm not even a fan of the genre
3,0.0,4198.0,0.0,0.0005148649215698242,it's lazy for a movie to [[avoid]] [[solving]] one problem by [[trying]] to [[distract]] us with the [[solution]] to [[another]] .,0.0,0.23955851793289185,it's lazy for a movie to [[avoidance]] [[settled]] one problem by [[tempting]] to [[entertain]] us with the [[firmness]] to [[further]] .,Failed,,,,,,iga-3,it's lazy for a movie to avoid solving one problem by trying to distract us with the solution to another .,it's lazy for a movie to avoidance settled one problem by tempting to entertain us with the firmness to further .
4,1.0,565.0,1.0,0.002471745014190674,"[[even]] when he's not at his most critically [[insightful]] , godard can [[still]] be smarter than any 50 other [[filmmakers]] still at [[work]] .",0.0,0.8034154176712036,"[[again]] when he's not at his most critically [[illuminating]] , godard can [[even]] be smarter than any 50 other [[cinematographers]] still at [[labor]] .",Successful,0.5265247062620695,0.8719499111175537,-50.868648529052734,-51.5270881652832,0.6584396362304688,iga-4,"even when he's not at his most critically insightful , godard can still be smarter than any 50 other filmmakers still at work .","again when he's not at his most critically illuminating , godard can even be smarter than any 50 other cinematographers still at labor ."
5,0.0,1.0,1.0,0.993793785572052,"more successful at relating history than in creating an emotionally complex , dramatically satisfying heroine",1.0,0.993793785572052,"more successful at relating history than in creating an emotionally complex , dramatically satisfying heroine",Skipped,,,,,,iga-5,"more successful at relating history than in creating an emotionally complex , dramatically satisfying heroine","more successful at relating history than in creating an emotionally complex , dramatically satisfying heroine"
6,1.0,1.0,0.0,0.998732328414917,it's unlikely we'll see a better thriller this year .,0.0,0.998732328414917,it's unlikely we'll see a better thriller this year .,Skipped,,,,,,iga-6,it's unlikely we'll see a better thriller this year .,it's unlikely we'll see a better thriller this year .
7,1.0,891.0,1.0,0.001867830753326416,"the story gives ample opportunity for large-scale [[action]] and suspense , which director shekhar kapur supplies with [[tremendous]] skill .",0.0,0.7345957756042479,"the story gives ample opportunity for large-scale [[efforts]] and suspense , which director shekhar kapur supplies with [[cannot]] skill .",Successful,0.7265407815865123,0.8924083709716797,-47.3546257019043,-46.08715057373047,-1.2674751281738281,iga-7,"the story gives ample opportunity for large-scale action and suspense , which director shekhar kapur supplies with tremendous skill .","the story gives ample opportunity for large-scale efforts and suspense , which director shekhar kapur supplies with cannot skill ."
8,0.0,747.0,0.0,0.0012558698654174805,[[ultimately]] this is a [[frustrating]] patchwork : an uneasy marriage of louis begley's [[source]] novel ( about schmidt ) and an old payne [[screenplay]] .,1.0,0.6253118515014648,[[enfin]] this is a [[disillusioned]] patchwork : an uneasy marriage of louis begley's [[provenance]] novel ( about schmidt ) and an old payne [[screenplays]] .,Successful,0.6523366701420595,0.9299840927124023,-54.650394439697266,-52.644718170166016,-2.00567626953125,iga-8,ultimately this is a frustrating patchwork : an uneasy marriage of louis begley's source novel ( about schmidt ) and an old payne screenplay .,enfin this is a disillusioned patchwork : an uneasy marriage of louis begley's provenance novel ( about schmidt ) and an old payne screenplays .
9,0.0,1.0,1.0,0.9787994623184204,the threat implied in the title pokémon 4ever is terrifying  like locusts in a horde these things will keep coming .,1.0,0.9787994623184204,the threat implied in the title pokémon 4ever is terrifying  like locusts in a horde these things will keep coming .,Skipped,,,,,,iga-9,the threat implied in the title pokémon 4ever is terrifying  like locusts in a horde these things will keep coming .,the threat implied in the title pokémon 4ever is terrifying  like locusts in a horde these things will keep coming .
