"ground_truth_output","num_queries","original_output","original_score","original_text","perturbed_output","perturbed_score","perturbed_text","result_type"
0.0,5.0,0.0,0.006875574588775635,"bears is even [[worse]] than i imagined a movie ever could be .",1.0,0.9960014224052429,"bears is even [[pire]] than i imagined a movie ever could be .","Successful"
1.0,756.0,1.0,0.001990973949432373,"[[although]] estela bravo's [[documentary]] is cloyingly hagiographic in its [[portrait]] of cuban leader fidel castro , it's [[still]] a guilty [[pleasure]] to watch .",0.0,0.9218078851699829,"[[nonetheless]] estela bravo's [[documentation]] is cloyingly hagiographic in its [[picture]] of cuban leader fidel castro , it's [[again]] a guilty [[revelry]] to watch .","Successful"
1.0,1.0,0.0,0.9987711906433105,"i have a new favorite musical -- and i'm not even a fan of the genre",0.0,0.9987711906433105,"i have a new favorite musical -- and i'm not even a fan of the genre","Skipped"
0.0,4198.0,0.0,0.0005148649215698242,"it's lazy for a movie to [[avoid]] [[solving]] one problem by [[trying]] to [[distract]] us with the [[solution]] to [[another]] .",0.0,0.23955851793289185,"it's lazy for a movie to [[avoidance]] [[settled]] one problem by [[tempting]] to [[entertain]] us with the [[firmness]] to [[further]] .","Failed"
1.0,565.0,1.0,0.002471745014190674,"[[even]] when he's not at his most critically [[insightful]] , godard can [[still]] be smarter than any 50 other [[filmmakers]] still at [[work]] .",0.0,0.8034154176712036,"[[again]] when he's not at his most critically [[illuminating]] , godard can [[even]] be smarter than any 50 other [[cinematographers]] still at [[labor]] .","Successful"
0.0,1.0,1.0,0.993793785572052,"more successful at relating history than in creating an emotionally complex , dramatically satisfying heroine",1.0,0.993793785572052,"more successful at relating history than in creating an emotionally complex , dramatically satisfying heroine","Skipped"
1.0,1.0,0.0,0.998732328414917,"it's unlikely we'll see a better thriller this year .",0.0,0.998732328414917,"it's unlikely we'll see a better thriller this year .","Skipped"
1.0,891.0,1.0,0.001867830753326416,"the story gives ample opportunity for large-scale [[action]] and suspense , which director shekhar kapur supplies with [[tremendous]] skill .",0.0,0.734595775604248,"the story gives ample opportunity for large-scale [[efforts]] and suspense , which director shekhar kapur supplies with [[cannot]] skill .","Successful"
0.0,747.0,0.0,0.0012558698654174805,"[[ultimately]] this is a [[frustrating]] patchwork : an uneasy marriage of louis begley's [[source]] novel ( about schmidt ) and an old payne [[screenplay]] .",1.0,0.6253118515014648,"[[enfin]] this is a [[disillusioned]] patchwork : an uneasy marriage of louis begley's [[provenance]] novel ( about schmidt ) and an old payne [[screenplays]] .","Successful"
0.0,1.0,1.0,0.9787994623184204,"the threat implied in the title pokémon 4ever is terrifying  like locusts in a horde these things will keep coming .",1.0,0.9787994623184204,"the threat implied in the title pokémon 4ever is terrifying  like locusts in a horde these things will keep coming .","Skipped"
0.0,9602.0,0.0,0.0017235279083251953,"some [[writer]] [[dude]] , i think his name was , [[uh]] , [[michael]] zaidan , was [[supposed]] to have [[like]] written the screenplay or [[something]] , but , [[dude]] , the only thing that i [[ever]] saw that was written down were the [[zeroes]] on my paycheck .",0.0,0.00981813669204712,"some [[noir]] [[man]] , i think his name was , [[ah]] , [[mikhail]] zaidan , was [[suspected]] to have [[amour]] written the screenplay or [[nothing]] , but , [[comrade]] , the only thing that i [[unceasingly]] saw that was written down were the [[zeros]] on my paycheck .","Failed"
0.0,205.0,0.0,0.0026917457580566406,"a sha-na-na [[sketch]] punctuated with graphic violence .",0.0,0.2637057304382324,"a sha-na-na [[vitae]] punctuated with graphic violence .","Failed"
1.0,1066.0,1.0,0.0006294846534729004,"[[like]] the series , the [[movie]] is funny , smart , visually [[inventive]] , and most of all , [[alive]] .",0.0,0.8269338011741638,"[[love]] the series , the [[cinematography]] is funny , smart , visually [[resourceful]] , and most of all , [[plucky]] .","Successful"
0.0,150.0,0.0,0.0004807710647583008,"perhaps even the slc high command found writer-director mitch davis's wall of kitsch [[hard]] going .",1.0,0.9807698130607605,"perhaps even the slc high command found writer-director mitch davis's wall of kitsch [[painstaking]] going .","Successful"
0.0,215.0,0.0,0.37850064039230347,"'es en verdad una pena que mandoki esté realizando cintas tan malas desde hace algún tiempo , [[pues]] talento tiene , pero quién sabe dónde lo tiene escondido . '",1.0,0.7729029655456543,"'es en verdad una pena que mandoki esté realizando cintas tan malas desde hace algún tiempo , [[entonces]] talento tiene , pero quién sabe dónde lo tiene escondido . '","Successful"
0.0,96.0,0.0,0.0004073977470397949,"the spalding gray equivalent of a teen gross-out [[comedy]] .",1.0,0.6683750152587891,"the spalding gray equivalent of a teen gross-out [[hilarious]] .","Successful"
0.0,36.0,0.0,0.0012192130088806152,"all [[mood]] and no movie .",0.0,0.001511693000793457,"all [[feeling]] and no movie .","Failed"
1.0,1.0,0.0,0.9993778467178345,"other than the slightly flawed ( and fairly unbelievable ) finale , everything else is top shelf .",0.0,0.9993778467178345,"other than the slightly flawed ( and fairly unbelievable ) finale , everything else is top shelf .","Skipped"
1.0,823.0,1.0,0.0019028782844543457,"[[despite]] an [[overwrought]] [[ending]] , the film works as [[well]] as it does because of the performances .",0.0,0.9961439967155457,"[[nonetheless]] an [[overworked]] [[terminated]] , the film works as [[verywell]] as it does because of the performances .","Successful"
1.0,2041.0,1.0,0.005985081195831299,"[[connoisseurs]] of [[chinese]] film will be [[pleased]] to [[discover]] that tian's [[meticulous]] [[talent]] has not [[withered]] during his enforced [[hiatus]] .",0.0,0.5071959495544434,"[[connoisseur]] of [[chino]] film will be [[happier]] to [[detect]] that tian's [[prudence]] [[talented]] has not [[shrivelled]] during his enforced [[interrupts]] .","Successful"
0.0,238.0,0.0,0.0005165338516235352,"exploring value choices is a worthwhile [[topic]] for a film -- but here the [[choices]] are as contrived and [[artificial]] as kerrigan's platinum-blonde hair .",1.0,0.932612419128418,"exploring value choices is a worthwhile [[thematic]] for a film -- but here the [[elect]] are as contrived and [[contrived]] as kerrigan's platinum-blonde hair .","Successful"
0.0,1187.0,0.0,0.0006580948829650879,"a dark [[comedy]] that goes for sick and demented humor simply to do so . the movie is [[without]] intent .",1.0,0.9728161692619324,"a dark [[hilarious]] that goes for sick and demented humor simply to do so . the movie is [[san]] intent .","Successful"
0.0,12.0,0.0,0.05234575271606445,"more trifle than [[triumph]] .",1.0,0.9750077128410339,"more trifle than [[triomphe]] .","Successful"
0.0,1.0,1.0,0.998518705368042,"entertains not so much because of its music or comic antics , but through the perverse pleasure of watching disney scrape the bottom of its own cracker barrel .",1.0,0.998518705368042,"entertains not so much because of its music or comic antics , but through the perverse pleasure of watching disney scrape the bottom of its own cracker barrel .","Skipped"
0.0,6823.0,0.0,0.0006192922592163086,"[[directed]] in a flashy , [[empty]] sub-music video style by a [[director]] so self-possessed he actually adds a [[period]] to his [[first]] name",0.0,0.001526176929473877,"[[intended]] in a flashy , [[empties]] sub-music video style by a [[headmistress]] so self-possessed he actually adds a [[timing]] to his [[outset]] name","Failed"
0.0,2267.0,0.0,0.000810086727142334,"the [[movie]] is concocted and [[carried]] out by folks [[worthy]] of [[scorn]] , and the [[nicest]] thing i can say is that i can't remember a [[single]] name responsible for it .",1.0,0.6080663204193115,"the [[kino]] is concocted and [[presented]] out by folks [[commendable]] of [[disrespect]] , and the [[happiest]] thing i can say is that i can't remember a [[lonely]] name responsible for it .","Successful"
0.0,219.0,0.0,0.0010287761688232422,"aptly named , this shimmering , beautifully costumed and filmed production doesn't [[work]] for me .",1.0,0.9983689188957214,"aptly named , this shimmering , beautifully costumed and filmed production doesn't [[labor]] for me .","Successful"
1.0,45.0,1.0,0.0006738901138305664,"an enthralling , [[entertaining]] feature .",0.0,0.8792741894721985,"an enthralling , [[bothersome]] feature .","Successful"
1.0,973.0,1.0,0.0007828474044799805,". . . a sweetly [[affecting]] story about [[four]] sisters who are [[coping]] , in [[one]] way or another , with life's endgame .",0.0,0.541053056716919,". . . a sweetly [[afflicts]] story about [[oven]] sisters who are [[adaptations]] , in [[uno]] way or another , with life's endgame .","Successful"
0.0,1.0,0.0,0.0007968544960021973,"a slow-moving police-procedural thriller that takes its title all too literally .",0.0,0.0007968544960021973,"a slow-moving police-procedural thriller that takes its title all too literally .","Failed"
1.0,825.0,1.0,0.0011655688285827637,"the engagingly primitive [[animated]] special effects contribute to a mood that's sustained through the surprisingly [[somber]] conclusion .",0.0,0.8722742795944214,"the engagingly primitive [[animate]] special effects contribute to a mood that's sustained through the surprisingly [[boring]] conclusion .","Successful"
0.0,76.0,0.0,0.0012325048446655273,"it should be doing a [[lot]] of [[things]] , but doesn't .",0.0,0.0014006495475769043,"it should be doing a [[batch]] of [[facets]] , but doesn't .","Failed"
0.0,1.0,1.0,0.9887146949768066,"according to wendigo , 'nature' loves the members of the upper class almost as much as they love themselves .",1.0,0.9887146949768066,"according to wendigo , 'nature' loves the members of the upper class almost as much as they love themselves .","Skipped"
1.0,1.0,0.0,0.933979868888855,"i've yet to find an actual vietnam war combat movie actually produced by either the north or south vietnamese , but at least now we've got something pretty damn close .",0.0,0.933979868888855,"i've yet to find an actual vietnam war combat movie actually produced by either the north or south vietnamese , but at least now we've got something pretty damn close .","Skipped"
0.0,863.0,0.0,0.0012367963790893555,"'[[opening]] up' the [[play]] more has partly closed it down .",0.0,0.002624034881591797,"'[[opens]] up' the [[replica]] more has partly closed it down .","Failed"
0.0,1377.0,0.0,0.000577092170715332,"the rules of attraction gets [[us]] too drunk on the party [[favors]] to sober us up with the transparent [[attempts]] at moralizing .",1.0,0.8097148537635803,"the rules of attraction gets [[americans]] too drunk on the party [[prefers]] to sober us up with the transparent [[strive]] at moralizing .","Successful"
1.0,1.0,0.0,0.9601516723632812,"leigh isn't breaking new ground , but he knows how a daily grind can kill love .",0.0,0.9601516723632812,"leigh isn't breaking new ground , but he knows how a daily grind can kill love .","Skipped"
1.0,1.0,0.0,0.9967754483222961,"it was filled with shootings , beatings , and more cussing than you could shake a stick at .",0.0,0.9967754483222961,"it was filled with shootings , beatings , and more cussing than you could shake a stick at .","Skipped"
0.0,671.0,0.0,0.0007140040397644043,"it has the right approach and the right opening premise , but it [[lacks]] the zest and it goes for a plot twist instead of [[trusting]] the material .",1.0,0.9982059597969055,"it has the right approach and the right opening premise , but it [[dearth]] the zest and it goes for a plot twist instead of [[relying]] the material .","Successful"
0.0,560.0,0.0,0.0014889836311340332,"ninety minutes of [[viva]] castro ! can be as [[tiresome]] as 9 [[seconds]] of jesse helms' anti- castro rhetoric , which are included",1.0,0.8998306393623352,"ninety minutes of [[alive]] castro ! can be as [[gruelling]] as 9 [[secondly]] of jesse helms' anti- castro rhetoric , which are included","Successful"
1.0,176.0,1.0,0.0014795660972595215,"an enormously [[entertaining]] movie , like nothing we've ever seen before , and yet completely [[familiar]] .",0.0,0.9835700988769531,"an enormously [[distracting]] movie , like nothing we've ever seen before , and yet completely [[colloquial]] .","Successful"
0.0,1121.0,0.0,0.0015998482704162598,"after [[several]] scenes of this tacky nonsense , you'll be [[wistful]] for the testosterone-charged [[wizardry]] of jerry bruckheimer productions , [[especially]] because half past dead is like the rock on a wal-mart budget .",1.0,0.829770565032959,"after [[differing]] scenes of this tacky nonsense , you'll be [[mournful]] for the testosterone-charged [[magic]] of jerry bruckheimer productions , [[peculiarly]] because half past dead is like the rock on a wal-mart budget .","Successful"
0.0,1.0,1.0,0.6374742984771729,"blue crush has all the trappings of an energetic , extreme-sports adventure , but ends up more of a creaky "" pretty woman "" retread , with the emphasis on self-empowering schmaltz and big-wave surfing that gives pic its title an afterthought .",1.0,0.6374742984771729,"blue crush has all the trappings of an energetic , extreme-sports adventure , but ends up more of a creaky "" pretty woman "" retread , with the emphasis on self-empowering schmaltz and big-wave surfing that gives pic its title an afterthought .","Skipped"
1.0,64.0,1.0,0.004518389701843262,"even though we know the outcome , the seesawing of the general's fate in the arguments of competing lawyers has the stomach-knotting [[suspense]] of a legal thriller , while the testimony of witnesses lends the film a resonant undertone of tragedy .",0.0,0.9114355444908142,"even though we know the outcome , the seesawing of the general's fate in the arguments of competing lawyers has the stomach-knotting [[sufferance]] of a legal thriller , while the testimony of witnesses lends the film a resonant undertone of tragedy .","Successful"
0.0,277.0,0.0,0.0013762712478637695,"the [[romance]] between the leads isn't as [[compelling]] or as [[believable]] as it should be .",0.0,0.002102971076965332,"the [[romanticism]] between the leads isn't as [[definitive]] or as [[reliable]] as it should be .","Failed"
0.0,1734.0,0.0,0.0010544657707214355,"the movie is a [[little]] tired ; [[maybe]] the [[original]] [[inspiration]] has run its [[course]] .",1.0,0.5168641805648804,"the movie is a [[scant]] tired ; [[may]] the [[emergence]] [[illumination]] has run its [[cours]] .","Successful"
1.0,1538.0,1.0,0.0009569525718688965,"the story itself it [[mostly]] [[told]] through on-camera interviews with several survivors , whose [[riveting]] [[memories]] are rendered with such [[clarity]] that it's as if it all happened only yesterday .",0.0,0.9503940939903259,"the story itself it [[practically]] [[avowed]] through on-camera interviews with several survivors , whose [[interesting]] [[briefs]] are rendered with such [[lucidity]] that it's as if it all happened only yesterday .","Successful"
1.0,913.0,1.0,0.00042885541915893555,"a [[passionately]] [[inquisitive]] film determined to uncover the [[truth]] and hopefully inspire action .",0.0,0.6833244562149048,"a [[flatly]] [[indiscreet]] film determined to uncover the [[lowdown]] and hopefully inspire action .","Successful"
0.0,382.0,0.0,0.0003581047058105469,"a zombie movie in every sense of the word--mindless , lifeless , meandering , loud , [[painful]] , [[obnoxious]] .",1.0,0.9981256127357483,"a zombie movie in every sense of the word--mindless , lifeless , meandering , loud , [[painstaking]] , [[despicable]] .","Successful"
