,ground_truth_output,num_queries,original_output,original_score,original_text,perturbed_output,perturbed_score,perturbed_text,result_type,bleu,sem,acpt_per,acpt_orig,acpt,id,original_text_raw,perturbed_text_raw
0,0.0,97.0,0.0,0.006875574588775635,bears is even [[worse]] than i imagined a movie ever could be .,1.0,0.9987342357635498,bears is even [[big]] than i imagined a movie ever could be .,Successful,0.7611606003349892,0.930601954460144,-39.639888763427734,-39.87664794921875,0.23675918579101562,pwws-0,bears is even worse than i imagined a movie ever could be .,bears is even big than i imagined a movie ever could be .
1,1.0,135.0,1.0,0.001990973949432373,"although estela bravo's documentary is cloyingly hagiographic in its portrait of cuban leader fidel castro , it's [[still]] a guilty pleasure to [[watch]] .",0.0,0.6337662935256958,"although estela bravo's documentary is cloyingly hagiographic in its portrait of cuban leader fidel castro , it's [[inactive]] a guilty pleasure to [[scout]] .",Successful,0.8040514736345937,0.9258847236633301,-53.58940124511719,-52.060142517089844,-1.5292587280273438,pwws-1,"although estela bravo's documentary is cloyingly hagiographic in its portrait of cuban leader fidel castro , it's still a guilty pleasure to watch .","although estela bravo's documentary is cloyingly hagiographic in its portrait of cuban leader fidel castro , it's inactive a guilty pleasure to scout ."
2,1.0,1.0,0.0,0.9987711906433104,i have a new favorite musical -- and i'm not even a fan of the genre,0.0,0.9987711906433104,i have a new favorite musical -- and i'm not even a fan of the genre,Skipped,,,,,,pwws-2,i have a new favorite musical -- and i'm not even a fan of the genre,i have a new favorite musical -- and i'm not even a fan of the genre
3,0.0,142.0,0.0,0.0005148649215698242,it's [[lazy]] for a [[movie]] to avoid solving one problem by [[trying]] to distract [[us]] with the [[solution]] to another .,1.0,0.8762575387954712,it's [[indolent]] for a [[film]] to avoid solving one problem by [[stress]] to distract [[America]] with the [[root]] to another .,Successful,0.35952902857522767,0.7543153762817383,-53.4211311340332,-48.002201080322266,-5.4189300537109375,pwws-3,it's lazy for a movie to avoid solving one problem by trying to distract us with the solution to another .,it's indolent for a film to avoid solving one problem by stress to distract America with the root to another .
4,1.0,154.0,1.0,0.002471745014190674,"even when he's not at his most critically insightful , godard can still be [[smarter]] than any 50 other filmmakers still at work .",0.0,0.8492273092269897,"even when he's not at his most critically insightful , godard can still be [[impertinent]] than any 50 other filmmakers still at work .",Successful,0.8843865924896842,0.9347275495529175,-42.19618606567383,-40.27460479736328,-1.9215812683105469,pwws-4,"even when he's not at his most critically insightful , godard can still be smarter than any 50 other filmmakers still at work .","even when he's not at his most critically insightful , godard can still be impertinent than any 50 other filmmakers still at work ."
5,0.0,1.0,1.0,0.993793785572052,"more successful at relating history than in creating an emotionally complex , dramatically satisfying heroine",1.0,0.993793785572052,"more successful at relating history than in creating an emotionally complex , dramatically satisfying heroine",Skipped,,,,,,pwws-5,"more successful at relating history than in creating an emotionally complex , dramatically satisfying heroine","more successful at relating history than in creating an emotionally complex , dramatically satisfying heroine"
6,1.0,1.0,0.0,0.998732328414917,it's unlikely we'll see a better thriller this year .,0.0,0.998732328414917,it's unlikely we'll see a better thriller this year .,Skipped,,,,,,pwws-6,it's unlikely we'll see a better thriller this year .,it's unlikely we'll see a better thriller this year .
7,1.0,147.0,1.0,0.001867830753326416,"the story [[gives]] ample opportunity for large-scale action and suspense , which director shekhar kapur supplies with tremendous skill .",0.0,0.9773132801055908,"the story [[collapse]] ample opportunity for large-scale action and suspense , which director shekhar kapur supplies with tremendous skill .",Successful,0.8739351325046805,0.9377419948577881,-42.82443618774414,-43.104957580566406,0.2805213928222656,pwws-7,"the story gives ample opportunity for large-scale action and suspense , which director shekhar kapur supplies with tremendous skill .","the story collapse ample opportunity for large-scale action and suspense , which director shekhar kapur supplies with tremendous skill ."
8,0.0,99.0,0.0,0.0012558698654174805,ultimately this is a [[frustrating]] patchwork : an uneasy [[marriage]] of louis begley's source novel ( about schmidt ) and an old payne screenplay .,1.0,0.850558876991272,ultimately this is a [[queer]] patchwork : an uneasy [[wedding]] of louis begley's source novel ( about schmidt ) and an old payne screenplay .,Successful,0.7749224723289705,0.9336754083633423,-52.539756774902344,-52.70358657836914,0.16382980346679688,pwws-8,ultimately this is a frustrating patchwork : an uneasy marriage of louis begley's source novel ( about schmidt ) and an old payne screenplay .,ultimately this is a queer patchwork : an uneasy wedding of louis begley's source novel ( about schmidt ) and an old payne screenplay .
9,0.0,1.0,1.0,0.9787994623184204,the threat implied in the title pokémon 4ever is terrifying  like locusts in a horde these things will keep coming .,1.0,0.9787994623184204,the threat implied in the title pokémon 4ever is terrifying  like locusts in a horde these things will keep coming .,Skipped,,,,,,pwws-9,the threat implied in the title pokémon 4ever is terrifying  like locusts in a horde these things will keep coming .,the threat implied in the title pokémon 4ever is terrifying  like locusts in a horde these things will keep coming .
10,0.0,373.0,0.0,0.0017235279083251953,"some [[writer]] [[dude]] , i [[think]] his [[name]] was , uh , michael zaidan , was [[supposed]] to have [[like]] [[written]] the screenplay or something , but , [[dude]] , the only [[thing]] that i ever [[saw]] that was written down were the [[zeroes]] on my paycheck .",0.0,0.011211097240447998,"some [[author]] [[buster]] , i [[consider]] his [[diagnose]] was , uh , michael zaidan , was [[conjectural]] to have [[same]] [[pen]] the screenplay or something , but , [[beau]] , the only [[matter]] that i ever [[control]] that was written down were the [[zip]] on my paycheck .",Failed,,,,,,pwws-10,"some writer dude , i think his name was , uh , michael zaidan , was supposed to have like written the screenplay or something , but , dude , the only thing that i ever saw that was written down were the zeroes on my paycheck .","some author buster , i consider his diagnose was , uh , michael zaidan , was conjectural to have same pen the screenplay or something , but , beau , the only matter that i ever control that was written down were the zip on my paycheck ."
11,0.0,40.0,0.0,0.002691745758056641,a sha-na-na sketch [[punctuated]] with graphic violence .,1.0,0.9961410164833068,a sha-na-na sketch [[emphasise]] with graphic violence .,Successful,0.5,0.8928571939468384,-40.26260757446289,-38.4171028137207,-1.8455047607421875,pwws-11,a sha-na-na sketch punctuated with graphic violence .,a sha-na-na sketch emphasise with graphic violence .
12,1.0,115.0,1.0,0.0006294846534729004,"[[like]] the series , the [[movie]] is [[funny]] , [[smart]] , visually [[inventive]] , and most of all , [[alive]] .",0.0,0.8173387050628662,"[[wish]] the series , the [[pic]] is [[suspicious]] , [[impertinent]] , visually [[imaginative]] , and most of all , [[animated]] .",Successful,0.3875407750115175,0.5170586109161377,-39.09305191040039,-38.02420425415039,-1.06884765625,pwws-12,"like the series , the movie is funny , smart , visually inventive , and most of all , alive .","wish the series , the pic is suspicious , impertinent , visually imaginative , and most of all , animated ."
13,0.0,175.0,0.0,0.0004807710647583008,perhaps even the slc high command found writer-director mitch davis's wall of kitsch [[hard]] going .,1.0,0.992320716381073,perhaps even the slc high command found writer-director mitch davis's wall of kitsch [[strong]] going .,Successful,0.8371170098777919,0.9681018590927124,-50.9035530090332,-50.32677459716797,-0.5767784118652344,pwws-13,perhaps even the slc high command found writer-director mitch davis's wall of kitsch hard going .,perhaps even the slc high command found writer-director mitch davis's wall of kitsch strong going .
14,0.0,47.0,0.0,0.37850064039230347,"'es en verdad una pena que mandoki esté realizando cintas [[tan]] malas desde hace algún tiempo , pues talento tiene , pero quién sabe dónde lo tiene escondido . '",1.0,0.6175579428672789,"'es en verdad una pena que mandoki esté realizando cintas [[bronze]] malas desde hace algún tiempo , pues talento tiene , pero quién sabe dónde lo tiene escondido . '",Successful,0.9095930632220222,0.9360946416854858,-44.687095642089844,-44.13391876220703,-0.5531768798828125,pwws-14,"'es en verdad una pena que mandoki esté realizando cintas tan malas desde hace algún tiempo , pues talento tiene , pero quién sabe dónde lo tiene escondido . '","'es en verdad una pena que mandoki esté realizando cintas bronze malas desde hace algún tiempo , pues talento tiene , pero quién sabe dónde lo tiene escondido . '"
15,0.0,60.0,0.0,0.00040739774703979487,the spalding [[gray]] [[equivalent]] of a [[teen]] gross-out comedy .,0.0,0.0008547306060791017,the spalding [[hoar]] [[eq]] of a [[stripling]] gross-out comedy .,Failed,,,,,,pwws-15,the spalding gray equivalent of a teen gross-out comedy .,the spalding hoar eq of a stripling gross-out comedy .
16,0.0,26.0,0.0,0.0012192130088806152,all [[mood]] and no [[movie]] .,0.0,0.002255678176879883,all [[mode]] and no [[pic]] .,Failed,,,,,,pwws-16,all mood and no movie .,all mode and no pic .
17,1.0,1.0,0.0,0.9993778467178344,"other than the slightly flawed ( and fairly unbelievable ) finale , everything else is top shelf .",0.0,0.9993778467178344,"other than the slightly flawed ( and fairly unbelievable ) finale , everything else is top shelf .",Skipped,,,,,,pwws-17,"other than the slightly flawed ( and fairly unbelievable ) finale , everything else is top shelf .","other than the slightly flawed ( and fairly unbelievable ) finale , everything else is top shelf ."
18,1.0,120.0,1.0,0.0019028782844543453,"despite an overwrought ending , the film [[works]] as well as it does because of the performances .",0.0,0.9988234043121338,"despite an overwrought ending , the film [[sour]] as well as it does because of the performances .",Successful,0.8394327083733336,0.9060871601104736,-36.559261322021484,-35.106990814208984,-1.4522705078125,pwws-18,"despite an overwrought ending , the film works as well as it does because of the performances .","despite an overwrought ending , the film sour as well as it does because of the performances ."
19,1.0,93.0,1.0,0.005985081195831299,connoisseurs of chinese film will be pleased to discover that tian's meticulous talent has not [[withered]] during his enforced hiatus .,0.0,0.850281298160553,connoisseurs of chinese film will be pleased to discover that tian's meticulous talent has not [[wizen]] during his enforced hiatus .,Successful,0.8656030552541708,0.9709104895591736,-41.57482147216797,-40.133094787597656,-1.4417266845703125,pwws-19,connoisseurs of chinese film will be pleased to discover that tian's meticulous talent has not withered during his enforced hiatus .,connoisseurs of chinese film will be pleased to discover that tian's meticulous talent has not wizen during his enforced hiatus .
20,0.0,111.0,0.0,0.0005165338516235352,exploring value choices is a worthwhile topic for a film -- but here the [[choices]] are as [[contrived]] and [[artificial]] as kerrigan's platinum-blonde hair .,1.0,0.998857080936432,exploring value choices is a worthwhile topic for a film -- but here the [[pick]] are as [[invent]] and [[contrived]] as kerrigan's platinum-blonde hair .,Successful,0.7180973041407734,0.8866076469421387,-46.148494720458984,-43.83263397216797,-2.3158607482910156,pwws-20,exploring value choices is a worthwhile topic for a film -- but here the choices are as contrived and artificial as kerrigan's platinum-blonde hair .,exploring value choices is a worthwhile topic for a film -- but here the pick are as invent and contrived as kerrigan's platinum-blonde hair .
21,0.0,321.0,0.0,0.0006580948829650879,a [[dark]] comedy that [[goes]] for [[sick]] and [[demented]] [[humor]] [[simply]] to do so . the [[movie]] is without [[intent]] .,0.0,0.003050863742828369,a [[wickedness]] comedy that [[ecstasy]] for [[purge]] and [[crazy]] [[mood]] [[just]] to do so . the [[film]] is without [[wrapped]] .,Failed,,,,,,pwws-21,a dark comedy that goes for sick and demented humor simply to do so . the movie is without intent .,a wickedness comedy that ecstasy for purge and crazy mood just to do so . the film is without wrapped .
22,0.0,39.0,0.0,0.05234575271606445,more [[trifle]] than [[triumph]] .,1.0,0.900823175907135,more [[play]] than [[wallow]] .,Successful,0.8801117367933934,0.5268608331680298,-38.211761474609375,-37.364009857177734,-0.8477516174316406,pwws-22,more trifle than triumph .,more play than wallow .
23,0.0,1.0,1.0,0.998518705368042,"entertains not so much because of its music or comic antics , but through the perverse pleasure of watching disney scrape the bottom of its own cracker barrel .",1.0,0.998518705368042,"entertains not so much because of its music or comic antics , but through the perverse pleasure of watching disney scrape the bottom of its own cracker barrel .",Skipped,,,,,,pwws-23,"entertains not so much because of its music or comic antics , but through the perverse pleasure of watching disney scrape the bottom of its own cracker barrel .","entertains not so much because of its music or comic antics , but through the perverse pleasure of watching disney scrape the bottom of its own cracker barrel ."
24,0.0,192.0,0.0,0.0006192922592163086,"[[directed]] in a flashy , [[empty]] sub-music video style by a director so [[self-possessed]] he actually adds a period to his first name",1.0,0.9793698787689208,"[[steer]] in a flashy , [[discharge]] sub-music video style by a director so [[poised]] he actually adds a period to his first name",Successful,0.7045307573858761,0.8661437034606934,-47.78375244140625,-45.2514762878418,-2.532276153564453,pwws-24,"directed in a flashy , empty sub-music video style by a director so self-possessed he actually adds a period to his first name","steer in a flashy , discharge sub-music video style by a director so poised he actually adds a period to his first name"
25,0.0,174.0,0.0,0.000810086727142334,"the movie is concocted and carried out by folks worthy of scorn , and the [[nicest]] thing i can say is that i can't [[remember]] a single [[name]] responsible for it .",1.0,0.8634212613105774,"the movie is concocted and carried out by folks worthy of scorn , and the [[skillful]] thing i can say is that i can't [[think]] a single [[discover]] responsible for it .",Successful,0.7506711416110806,0.8226107954978943,-44.15288543701172,-41.45254898071289,-2.700336456298828,pwws-25,"the movie is concocted and carried out by folks worthy of scorn , and the nicest thing i can say is that i can't remember a single name responsible for it .","the movie is concocted and carried out by folks worthy of scorn , and the skillful thing i can say is that i can't think a single discover responsible for it ."
