"ground_truth_output","num_queries","original_output","original_score","original_text","perturbed_output","perturbed_score","perturbed_text","result_type"
0.0,26.0,0.0,0.006875574588775635,"bears is even [[worse]] than i imagined a movie ever could be .",1.0,0.9960014224052429,"bears is even [[pire]] than i imagined a movie ever could be .","Successful"
1.0,52.0,1.0,0.001990973949432373,"[[although]] estela bravo's documentary is cloyingly hagiographic in its portrait of cuban leader fidel castro , it's still a guilty pleasure to [[watch]] .",0.0,0.6064521074295044,"[[althoսgh]] estela bravo's documentary is cloyingly hagiographic in its portrait of cuban leader fidel castro , it's still a guilty pleasure to [[wɑtch]] .","Successful"
1.0,1.0,0.0,0.9987711906433105,"i have a new favorite musical -- and i'm not even a fan of the genre",0.0,0.9987711906433105,"i have a new favorite musical -- and i'm not even a fan of the genre","Skipped"
0.0,69.0,0.0,0.0005148649215698242,"it's [[lazy]] for a [[movie]] to avoid solving one problem by [[trying]] to distract us with the solution to [[another]] .",0.0,0.04163050651550293,"it's [[shiftless]] for a [[moive]] to avoid solving one problem by [[tⲅying]] to distract us with the solution to [[others]] .","Failed"
1.0,48.0,1.0,0.002471745014190674,"[[even]] when he's not at his most critically insightful , godard can [[still]] be smarter than any 50 other filmmakers still at work .",0.0,0.5888981819152832,"[[eveո]] when he's not at his most critically insightful , godard can [[stіll]] be smarter than any 50 other filmmakers still at work .","Successful"
0.0,1.0,1.0,0.993793785572052,"more successful at relating history than in creating an emotionally complex , dramatically satisfying heroine",1.0,0.993793785572052,"more successful at relating history than in creating an emotionally complex , dramatically satisfying heroine","Skipped"
1.0,1.0,0.0,0.998732328414917,"it's unlikely we'll see a better thriller this year .",0.0,0.998732328414917,"it's unlikely we'll see a better thriller this year .","Skipped"
1.0,89.0,1.0,0.001867830753326416,"the story [[gives]] ample [[opportunity]] for large-scale [[action]] and suspense , which director [[shekhar]] kapur supplies with [[tremendous]] [[skill]] .",0.0,0.9693571925163269,"the story [[ɡives]] ample [[chances]] for large-scale [[actions]] and suspense , which director [[sanjay]] kapur supplies with [[enormous]] [[skіll]] .","Successful"
0.0,76.0,0.0,0.0012558698654174805,"ultimately this is a [[frustrating]] [[patchwork]] : an uneasy marriage of louis begley's source novel ( about schmidt ) and an old payne [[screenplay]] .",1.0,0.6159999370574951,"ultimately this is a [[frustratіng]] [[mosaic]] : an uneasy marriage of louis begley's source novel ( about schmidt ) and an old payne [[screenplays]] .","Successful"
0.0,1.0,1.0,0.9787994623184204,"the threat implied in the title pokémon 4ever is terrifying  like locusts in a horde these things will keep coming .",1.0,0.9787994623184204,"the threat implied in the title pokémon 4ever is terrifying  like locusts in a horde these things will keep coming .","Skipped"
0.0,156.0,0.0,0.0017235279083251953,"some [[writer]] dude , i [[think]] his name was , uh , [[michael]] zaidan , was [[supposed]] to have [[like]] written the [[screenplay]] or [[something]] , but , dude , the only thing that i [[ever]] saw that was written down were the [[zeroes]] on my paycheck .",0.0,0.0036112070083618164,"some [[screenwriter]] dude , i [[thought]] his name was , uh , [[michaeⅼ]] zaidan , was [[suspected]] to have [[lie]] written the [[screenpⅼay]] or [[somethin]] , but , dude , the only thing that i [[forever]] saw that was written down were the [[zeros]] on my paycheck .","Failed"
0.0,25.0,0.0,0.0026917457580566406,"a sha-na-na sketch [[punctuated]] with graphic violence .",1.0,0.7672613263130188,"a sha-na-na sketch [[punc𝚝uated]] with graphic violence .","Successful"
1.0,68.0,1.0,0.0006294846534729004,"like the series , the movie is [[funny]] , smart , [[visually]] [[inventive]] , and most of all , alive .",1.0,0.0014396309852600098,"like the series , the movie is [[comical]] , smart , [[visualⅼy]] [[invеntive]] , and most of all , alive .","Failed"
0.0,41.0,0.0,0.0004807710647583008,"perhaps even the slc high command [[found]] writer-director mitch davis's wall of kitsch [[hard]] going .",1.0,0.7572442293167114,"perhaps even the slc high command [[foսnd]] writer-director mitch davis's wall of kitsch [[h]] [[ard]] going .","Successful"
0.0,40.0,0.0,0.37850064039230347,"'es en verdad una pena que mandoki esté [[realizando]] cintas tan malas desde hace algún tiempo , pues talento tiene , pero quién sabe dónde lo tiene escondido . '",1.0,0.6966060996055603,"'es en verdad una pena que mandoki esté [[realzando]] cintas tan malas desde hace algún tiempo , pues talento tiene , pero quién sabe dónde lo tiene escondido . '","Successful"
0.0,36.0,0.0,0.0004073977470397949,"the spalding gray [[equivalent]] of a teen [[gross-out]] comedy .",1.0,0.7710933089256287,"the spalding gray [[comparable]] of a teen [[gross]]˗[[out]] comedy .","Successful"
0.0,1.0,0.0,0.0012192130088806152,"all mood and no movie .",0.0,0.0012192130088806152,"all mood and no movie .","Failed"
1.0,1.0,0.0,0.9993778467178345,"other than the slightly flawed ( and fairly unbelievable ) finale , everything else is top shelf .",0.0,0.9993778467178345,"other than the slightly flawed ( and fairly unbelievable ) finale , everything else is top shelf .","Skipped"
1.0,63.0,1.0,0.0019028782844543457,"despite an [[overwrought]] [[ending]] , the [[film]] works as [[well]] as it does because of the performances .",1.0,0.004920601844787598,"despite an [[overwroug]] [[ht]] [[end]] [[ing]] , the [[filmmaking]] works as [[welⅼ]] as it does because of the performances .","Failed"
1.0,37.0,1.0,0.005985081195831299,"connoisseurs of chinese film will be pleased to discover that tian's meticulous talent has not [[withered]] during his enforced hiatus .",0.0,0.9857852458953857,"connoisseurs of chinese film will be pleased to discover that tian's meticulous talent has not [[withereԁ]] during his enforced hiatus .","Successful"
0.0,69.0,0.0,0.0005165338516235352,"exploring value choices is a worthwhile [[topic]] for a film -- but here the [[choices]] are as contrived and [[artificial]] as kerrigan's platinum-blonde hair .",1.0,0.5261906385421753,"exploring value choices is a worthwhile [[tpoic]] for a film -- but here the [[choiecs]] are as contrived and [[contrived]] as kerrigan's platinum-blonde hair .","Successful"
