"ground_truth_output","num_queries","original_output","original_score","original_text","perturbed_output","perturbed_score","perturbed_text","result_type"
0.0,97.0,0.0,0.006875574588775635,"bears is even [[worse]] than i imagined a movie ever could be .",1.0,0.9987342357635498,"bears is even [[big]] than i imagined a movie ever could be .","Successful"
1.0,135.0,1.0,0.001990973949432373,"although estela bravo's documentary is cloyingly hagiographic in its portrait of cuban leader fidel castro , it's [[still]] a guilty pleasure to [[watch]] .",0.0,0.6337662935256958,"although estela bravo's documentary is cloyingly hagiographic in its portrait of cuban leader fidel castro , it's [[inactive]] a guilty pleasure to [[scout]] .","Successful"
1.0,1.0,0.0,0.9987711906433105,"i have a new favorite musical -- and i'm not even a fan of the genre",0.0,0.9987711906433105,"i have a new favorite musical -- and i'm not even a fan of the genre","Skipped"
0.0,142.0,0.0,0.0005148649215698242,"it's [[lazy]] for a [[movie]] to avoid solving one problem by [[trying]] to distract [[us]] with the [[solution]] to another .",1.0,0.8762575387954712,"it's [[indolent]] for a [[film]] to avoid solving one problem by [[stress]] to distract [[America]] with the [[root]] to another .","Successful"
1.0,154.0,1.0,0.002471745014190674,"even when he's not at his most critically insightful , godard can still be [[smarter]] than any 50 other filmmakers still at work .",0.0,0.8492273092269897,"even when he's not at his most critically insightful , godard can still be [[impertinent]] than any 50 other filmmakers still at work .","Successful"
0.0,1.0,1.0,0.993793785572052,"more successful at relating history than in creating an emotionally complex , dramatically satisfying heroine",1.0,0.993793785572052,"more successful at relating history than in creating an emotionally complex , dramatically satisfying heroine","Skipped"
1.0,1.0,0.0,0.998732328414917,"it's unlikely we'll see a better thriller this year .",0.0,0.998732328414917,"it's unlikely we'll see a better thriller this year .","Skipped"
1.0,147.0,1.0,0.001867830753326416,"the story [[gives]] ample opportunity for large-scale action and suspense , which director shekhar kapur supplies with tremendous skill .",0.0,0.9773132801055908,"the story [[collapse]] ample opportunity for large-scale action and suspense , which director shekhar kapur supplies with tremendous skill .","Successful"
0.0,99.0,0.0,0.0012558698654174805,"ultimately this is a [[frustrating]] patchwork : an uneasy [[marriage]] of louis begley's source novel ( about schmidt ) and an old payne screenplay .",1.0,0.850558876991272,"ultimately this is a [[queer]] patchwork : an uneasy [[wedding]] of louis begley's source novel ( about schmidt ) and an old payne screenplay .","Successful"
0.0,1.0,1.0,0.9787994623184204,"the threat implied in the title pokémon 4ever is terrifying  like locusts in a horde these things will keep coming .",1.0,0.9787994623184204,"the threat implied in the title pokémon 4ever is terrifying  like locusts in a horde these things will keep coming .","Skipped"
0.0,373.0,0.0,0.0017235279083251953,"some [[writer]] [[dude]] , i [[think]] his [[name]] was , uh , michael zaidan , was [[supposed]] to have [[like]] [[written]] the screenplay or something , but , [[dude]] , the only [[thing]] that i ever [[saw]] that was written down were the [[zeroes]] on my paycheck .",0.0,0.011211097240447998,"some [[author]] [[buster]] , i [[consider]] his [[diagnose]] was , uh , michael zaidan , was [[conjectural]] to have [[same]] [[pen]] the screenplay or something , but , [[beau]] , the only [[matter]] that i ever [[control]] that was written down were the [[zip]] on my paycheck .","Failed"
0.0,40.0,0.0,0.0026917457580566406,"a sha-na-na sketch [[punctuated]] with graphic violence .",1.0,0.9961410164833069,"a sha-na-na sketch [[emphasise]] with graphic violence .","Successful"
1.0,115.0,1.0,0.0006294846534729004,"[[like]] the series , the [[movie]] is [[funny]] , [[smart]] , visually [[inventive]] , and most of all , [[alive]] .",0.0,0.8173387050628662,"[[wish]] the series , the [[pic]] is [[suspicious]] , [[impertinent]] , visually [[imaginative]] , and most of all , [[animated]] .","Successful"
0.0,175.0,0.0,0.0004807710647583008,"perhaps even the slc high command found writer-director mitch davis's wall of kitsch [[hard]] going .",1.0,0.992320716381073,"perhaps even the slc high command found writer-director mitch davis's wall of kitsch [[strong]] going .","Successful"
0.0,47.0,0.0,0.37850064039230347,"'es en verdad una pena que mandoki esté realizando cintas [[tan]] malas desde hace algún tiempo , pues talento tiene , pero quién sabe dónde lo tiene escondido . '",1.0,0.617557942867279,"'es en verdad una pena que mandoki esté realizando cintas [[bronze]] malas desde hace algún tiempo , pues talento tiene , pero quién sabe dónde lo tiene escondido . '","Successful"
0.0,60.0,0.0,0.0004073977470397949,"the spalding [[gray]] [[equivalent]] of a [[teen]] gross-out comedy .",0.0,0.0008547306060791016,"the spalding [[hoar]] [[eq]] of a [[stripling]] gross-out comedy .","Failed"
0.0,26.0,0.0,0.0012192130088806152,"all [[mood]] and no [[movie]] .",0.0,0.002255678176879883,"all [[mode]] and no [[pic]] .","Failed"
1.0,1.0,0.0,0.9993778467178345,"other than the slightly flawed ( and fairly unbelievable ) finale , everything else is top shelf .",0.0,0.9993778467178345,"other than the slightly flawed ( and fairly unbelievable ) finale , everything else is top shelf .","Skipped"
1.0,120.0,1.0,0.0019028782844543457,"despite an overwrought ending , the film [[works]] as well as it does because of the performances .",0.0,0.9988234043121338,"despite an overwrought ending , the film [[sour]] as well as it does because of the performances .","Successful"
1.0,93.0,1.0,0.005985081195831299,"connoisseurs of chinese film will be pleased to discover that tian's meticulous talent has not [[withered]] during his enforced hiatus .",0.0,0.850281298160553,"connoisseurs of chinese film will be pleased to discover that tian's meticulous talent has not [[wizen]] during his enforced hiatus .","Successful"
0.0,111.0,0.0,0.0005165338516235352,"exploring value choices is a worthwhile topic for a film -- but here the [[choices]] are as [[contrived]] and [[artificial]] as kerrigan's platinum-blonde hair .",1.0,0.9988570809364319,"exploring value choices is a worthwhile topic for a film -- but here the [[pick]] are as [[invent]] and [[contrived]] as kerrigan's platinum-blonde hair .","Successful"
0.0,321.0,0.0,0.0006580948829650879,"a [[dark]] comedy that [[goes]] for [[sick]] and [[demented]] [[humor]] [[simply]] to do so . the [[movie]] is without [[intent]] .",0.0,0.003050863742828369,"a [[wickedness]] comedy that [[ecstasy]] for [[purge]] and [[crazy]] [[mood]] [[just]] to do so . the [[film]] is without [[wrapped]] .","Failed"
0.0,39.0,0.0,0.05234575271606445,"more [[trifle]] than [[triumph]] .",1.0,0.900823175907135,"more [[play]] than [[wallow]] .","Successful"
0.0,1.0,1.0,0.998518705368042,"entertains not so much because of its music or comic antics , but through the perverse pleasure of watching disney scrape the bottom of its own cracker barrel .",1.0,0.998518705368042,"entertains not so much because of its music or comic antics , but through the perverse pleasure of watching disney scrape the bottom of its own cracker barrel .","Skipped"
0.0,192.0,0.0,0.0006192922592163086,"[[directed]] in a flashy , [[empty]] sub-music video style by a director so [[self-possessed]] he actually adds a period to his first name",1.0,0.9793698787689209,"[[steer]] in a flashy , [[discharge]] sub-music video style by a director so [[poised]] he actually adds a period to his first name","Successful"
0.0,174.0,0.0,0.000810086727142334,"the movie is concocted and carried out by folks worthy of scorn , and the [[nicest]] thing i can say is that i can't [[remember]] a single [[name]] responsible for it .",1.0,0.8634212613105774,"the movie is concocted and carried out by folks worthy of scorn , and the [[skillful]] thing i can say is that i can't [[think]] a single [[discover]] responsible for it .","Successful"
0.0,103.0,0.0,0.0010287761688232422,"aptly named , this shimmering , beautifully costumed and filmed production doesn't [[work]] for me .",1.0,0.9972946643829346,"aptly named , this shimmering , beautifully costumed and filmed production doesn't [[sour]] for me .","Successful"
1.0,49.0,1.0,0.0006738901138305664,"an [[enthralling]] , [[entertaining]] [[feature]] .",0.0,0.9184267520904541,"an [[ravish]] , [[nurse]] [[characteristic]] .","Successful"
1.0,174.0,1.0,0.0007828474044799805,". . . a sweetly [[affecting]] [[story]] about [[four]] [[sisters]] who are [[coping]] , in one [[way]] or another , with life's endgame .",0.0,0.9910845160484314,". . . a sweetly [[pretend]] [[floor]] about [[quaternary]] [[babe]] who are [[snitch]] , in one [[mode]] or another , with life's endgame .","Successful"
0.0,146.0,0.0,0.0007968544960021973,"a slow-moving police-procedural thriller that [[takes]] its [[title]] all too literally .",0.0,0.0014042258262634277,"a slow-moving police-procedural thriller that [[withdraw]] its [[style]] all too literally .","Failed"
