"ground_truth_output","num_queries","original_output","original_score","original_text","perturbed_output","perturbed_score","perturbed_text","result_type"
0.0,40.0,0.0,0.006875574588775635,"bears is even [[worse]] than i imagined a movie ever could be .",1.0,0.9993869066238403,"bears is even [[greatest]] than i imagined a movie ever could be .","Successful"
1.0,142.0,1.0,0.001990973949432373,"although estela bravo's documentary is cloyingly hagiographic in its portrait of cuban leader fidel castro , it's [[still]] a guilty [[pleasure]] to [[watch]] .",0.0,0.8991808891296387,"although estela bravo's documentary is cloyingly hagiographic in its portrait of cuban leader fidel castro , it's [[anyway]] a guilty [[placing]] to [[tracked]] .","Successful"
1.0,1.0,0.0,0.9987711906433105,"i have a new favorite musical -- and i'm not even a fan of the genre",0.0,0.9987711906433105,"i have a new favorite musical -- and i'm not even a fan of the genre","Skipped"
0.0,119.0,0.0,0.0005148649215698242,"it's [[lazy]] for a [[movie]] to avoid [[solving]] one problem by [[trying]] to distract us with the solution to another .",1.0,0.8057265877723694,"it's [[shiftless]] for a [[cinematographer]] to avoid [[resolved]] one problem by [[wanting]] to distract us with the solution to another .","Successful"
1.0,76.0,1.0,0.002471745014190674,"even when he's not at his most critically insightful , godard can [[still]] be smarter than any 50 other [[filmmakers]] still at work .",0.0,0.6480675935745239,"even when he's not at his most critically insightful , godard can [[otherwise]] be smarter than any 50 other [[cameramen]] still at work .","Successful"
0.0,1.0,1.0,0.993793785572052,"more successful at relating history than in creating an emotionally complex , dramatically satisfying heroine",1.0,0.993793785572052,"more successful at relating history than in creating an emotionally complex , dramatically satisfying heroine","Skipped"
1.0,1.0,0.0,0.998732328414917,"it's unlikely we'll see a better thriller this year .",0.0,0.998732328414917,"it's unlikely we'll see a better thriller this year .","Skipped"
1.0,176.0,1.0,0.001867830753326416,"the story [[gives]] ample [[opportunity]] for large-scale action and suspense , which director shekhar kapur supplies with [[tremendous]] [[skill]] .",0.0,0.9866936802864075,"the story [[poses]] ample [[hazard]] for large-scale action and suspense , which director shekhar kapur supplies with [[huge]] [[jurisdictional]] .","Successful"
0.0,57.0,0.0,0.0012558698654174805,"ultimately this is a [[frustrating]] patchwork : an uneasy marriage of louis begley's source novel ( about schmidt ) and an old payne screenplay .",1.0,0.9796515107154846,"ultimately this is a [[unnerving]] patchwork : an uneasy marriage of louis begley's source novel ( about schmidt ) and an old payne screenplay .","Successful"
0.0,1.0,1.0,0.9787994623184204,"the threat implied in the title pokémon 4ever is terrifying  like locusts in a horde these things will keep coming .",1.0,0.9787994623184204,"the threat implied in the title pokémon 4ever is terrifying  like locusts in a horde these things will keep coming .","Skipped"
0.0,426.0,0.0,0.0017235279083251953,"some [[writer]] dude , i [[think]] his [[name]] was , [[uh]] , [[michael]] zaidan , was [[supposed]] to [[have]] like [[written]] the [[screenplay]] or something , but , [[dude]] , the only [[thing]] that i ever [[saw]] that was written down were the [[zeroes]] on my paycheck .",0.0,0.0057392120361328125,"some [[author]] dude , i [[knew]] his [[title]] was , [[ouais]] , [[micha]] zaidan , was [[doubted]] to [[receive]] like [[printed]] the [[script]] or something , but , [[bro]] , the only [[question]] that i ever [[seemed]] that was written down were the [[zeros]] on my paycheck .","Failed"
0.0,34.0,0.0,0.0026917457580566406,"a sha-na-na sketch [[punctuated]] with graphic violence .",1.0,0.998981237411499,"a sha-na-na sketch [[evoke]] with graphic violence .","Successful"
1.0,123.0,1.0,0.0006294846534729004,"[[like]] the [[series]] , the [[movie]] is [[funny]] , [[smart]] , visually [[inventive]] , and most of all , [[alive]] .",0.0,0.998076319694519,"[[analogue]] the [[serials]] , the [[cinematographers]] is [[joke]] , [[reasonable]] , visually [[astute]] , and most of all , [[perennial]] .","Successful"
0.0,34.0,0.0,0.0004807710647583008,"perhaps even the slc high command found writer-director mitch davis's wall of kitsch [[hard]] going .",1.0,0.7272745370864868,"perhaps even the slc high command found writer-director mitch davis's wall of kitsch [[ferocious]] going .","Successful"
0.0,75.0,0.0,0.37850064039230347,"'es en verdad una pena que mandoki esté realizando cintas tan malas desde hace algún tiempo , [[pues]] talento tiene , pero quién sabe dónde lo tiene escondido . '",1.0,0.5113847851753235,"'es en verdad una pena que mandoki esté realizando cintas tan malas desde hace algún tiempo , [[luego]] talento tiene , pero quién sabe dónde lo tiene escondido . '","Successful"
0.0,87.0,0.0,0.0004073977470397949,"the spalding [[gray]] [[equivalent]] of a teen gross-out [[comedy]] .",1.0,0.9983342885971069,"the spalding [[grays]] [[equals]] of a teen gross-out [[entertaining]] .","Successful"
0.0,61.0,0.0,0.0012192130088806152,"all [[mood]] and no [[movie]] .",0.0,0.002489805221557617,"all [[vibe]] and no [[cinematographers]] .","Failed"
1.0,1.0,0.0,0.9993778467178345,"other than the slightly flawed ( and fairly unbelievable ) finale , everything else is top shelf .",0.0,0.9993778467178345,"other than the slightly flawed ( and fairly unbelievable ) finale , everything else is top shelf .","Skipped"
1.0,190.0,1.0,0.0019028782844543457,"[[despite]] an [[overwrought]] [[ending]] , the film [[works]] as [[well]] as it [[does]] because of the performances .",0.0,0.9986268281936646,"[[albeit]] an [[excitable]] [[conclusion]] , the film [[labor]] as [[satisfactorily]] as it [[could]] because of the performances .","Successful"
