,Unnamed: 0,ground_truth_output,num_queries,original_output,original_score,original_text,perturbed_output,perturbed_score,perturbed_text,result_type,bleu,sem,acpt_per,acpt_orig,acpt,id,original_text_raw,perturbed_text_raw
13,13,0.0,34.0,0.0,0.0004807710647583008,perhaps even the slc high command found writer-director mitch davis's wall of kitsch [[hard]] going .,1.0,0.7272745370864868,perhaps even the slc high command found writer-director mitch davis's wall of kitsch [[ferocious]] going .,Successful,0.8371170098777919,0.9528464078903198,-51.4347038269043,-50.32677459716797,-1.107929229736328,textfooler-13,perhaps even the slc high command found writer-director mitch davis's wall of kitsch hard going .,perhaps even the slc high command found writer-director mitch davis's wall of kitsch ferocious going .
343,343,0.0,147.0,0.0,0.000632941722869873,spy-vs . -[[spy]] [[action]] [[flick]] with antonio banderas and [[lucy]] liu never [[comes]] [[together]] .,1.0,0.9752399921417236,spy-vs . -[[espionage]] [[proceedings]] [[cinematography]] with antonio banderas and [[emilia]] liu never [[entails]] [[collectively]] .,Successful,0.2289415686066991,0.6154072880744934,-58.37893295288086,-59.35044479370117,0.9715118408203124,textfooler-343,spy-vs . -spy action flick with antonio banderas and lucy liu never comes together .,spy-vs . -espionage proceedings cinematography with antonio banderas and emilia liu never entails collectively .
119,119,1.0,96.0,1.0,0.0013695955276489258,"goofy , [[nutty]] , [[consistently]] [[funny]] . and [[educational]] !",0.0,0.9995545148849488,"goofy , [[wacko]] , [[periodically]] [[freaky]] . and [[didactic]] !",Successful,0.6042750794713536,0.6453752517700195,-39.90876007080078,-35.65205764770508,-4.256702423095703,textfooler-119,"goofy , nutty , consistently funny . and educational !","goofy , wacko , periodically freaky . and didactic !"
572,572,0.0,111.0,0.0,0.004601538181304932,"the [[film]] , like jimmy's routines , could [[use]] a [[few]] good laughs .",1.0,0.992592990398407,"the [[stills]] , like jimmy's routines , could [[harnessed]] a [[lite]] good laughs .",Successful,0.4682568791024402,0.7481154203414917,-48.614295959472656,-41.018497467041016,-7.5957984924316415,textfooler-572,"the film , like jimmy's routines , could use a few good laughs .","the stills , like jimmy's routines , could harnessed a lite good laughs ."
21,21,0.0,195.0,0.0,0.0006580948829650879,a dark comedy that goes for [[sick]] and [[demented]] humor [[simply]] to do so . the [[movie]] is without [[intent]] .,1.0,0.9974267482757568,a dark comedy that goes for [[psychopathic]] and [[coot]] humor [[honestly]] to do so . the [[film]] is without [[object]] .,Successful,0.4443530419831707,0.8570089340209961,-49.76065444946289,-48.45913696289063,-1.3015174865722656,textfooler-21,a dark comedy that goes for sick and demented humor simply to do so . the movie is without intent .,a dark comedy that goes for psychopathic and coot humor honestly to do so . the film is without object .
596,596,1.0,26.0,1.0,0.002289295196533203,'tobey maguire is a poster boy for the geek [[generation]] . ',0.0,0.996317446231842,'tobey maguire is a poster boy for the geek [[produce]] . ',Successful,0.7691605673134586,0.9290383458137512,-43.88146209716797,-43.4052848815918,-0.4761772155761719,textfooler-596,'tobey maguire is a poster boy for the geek generation . ','tobey maguire is a poster boy for the geek produce . '
872,872,1.0,259.0,1.0,0.0003604888916015625,"the 3-d vistas from orbit , with the [[space]] station [[suspended]] like a [[huge]] set of wind [[chimes]] over the [[great]] blue globe , are [[stanzas]] of [[breathtaking]] , awe-inspiring [[visual]] [[poetry]] .",0.0,0.9359461069107056,"the 3-d vistas from orbit , with the [[margin]] station [[eliminated]] like a [[whopping]] set of wind [[chirping]] over the [[impressive]] blue globe , are [[rhymed]] of [[whopping]] , awe-inspiring [[optic]] [[poems]] .",Successful,0.3750916086546893,0.7461283206939697,-50.69903945922852,-48.79235076904297,-1.9066886901855469,textfooler-872,"the 3-d vistas from orbit , with the space station suspended like a huge set of wind chimes over the great blue globe , are stanzas of breathtaking , awe-inspiring visual poetry .","the 3-d vistas from orbit , with the margin station eliminated like a whopping set of wind chirping over the impressive blue globe , are rhymed of whopping , awe-inspiring optic poems ."
713,713,0.0,62.0,0.0,0.0005584359169006348,"a relentless , [[bombastic]] and [[ultimately]] empty world war ii action [[flick]] .",1.0,0.9868424534797668,"a relentless , [[ostentatious]] and [[potentially]] empty world war ii action [[cinema]] .",Successful,0.4089601472043678,0.7871965169906616,-47.58411026000977,-49.57306671142578,1.988956451416016,textfooler-713,"a relentless , bombastic and ultimately empty world war ii action flick .","a relentless , ostentatious and potentially empty world war ii action cinema ."
959,959,0.0,91.0,0.0,0.0015317797660827635,it's a shame that the [[storyline]] and its underlying [[themes]] . . . [[finally]] seem [[so]] impersonal or even shallow .,1.0,0.6406447887420654,it's a shame that the [[backstory]] and its underlying [[regard]] . . . [[possibly]] seem [[however]] impersonal or even shallow .,Successful,0.4617173424911105,0.6982135176658629,-43.96197891235352,-42.70335006713867,-1.2586288452148438,textfooler-959,it's a shame that the storyline and its underlying themes . . . finally seem so impersonal or even shallow .,it's a shame that the backstory and its underlying regard . . . possibly seem however impersonal or even shallow .
715,715,1.0,29.0,1.0,0.0012922286987304688,a lovably old-school [[hollywood]] [[confection]] .,0.0,0.9940283298492432,a lovably old-school [[celebs]] [[pruning]] .,Successful,0.5081327481546147,0.5291525721549988,-42.17399215698242,-42.027381896972656,-0.14661026000976562,textfooler-715,a lovably old-school hollywood confection .,a lovably old-school celebs pruning .
