,ground_truth_output,num_queries,original_output,original_score,original_text,perturbed_output,perturbed_score,perturbed_text,result_type,bleu,sem,acpt_per,acpt_orig,acpt,id,original_text_raw,perturbed_text_raw
0,0.0,76.0,0.0,0.006875574588775635,bears is even [[worse]] than i imagined a movie ever could be .,1.0,0.9960014224052428,bears is even [[pire]] than i imagined a movie ever could be .,Successful,0.7611606003349892,0.970099925994873,-41.169334411621094,-39.87664794921875,-1.2926864624023438,kuleshov-0,bears is even worse than i imagined a movie ever could be .,bears is even pire than i imagined a movie ever could be .
1,1.0,367.0,1.0,0.001990973949432373,"[[although]] estela bravo's [[documentary]] is cloyingly hagiographic in its portrait of cuban leader fidel castro , it's [[still]] a guilty pleasure to watch .",0.0,0.9326103329658508,"[[nonetheless]] estela bravo's [[paperwork]] is cloyingly hagiographic in its portrait of cuban leader fidel castro , it's [[once]] a guilty pleasure to watch .",Successful,0.7332234387423263,0.8776986598968506,-54.20281219482422,-49.498992919921875,-4.703819274902344,kuleshov-1,"although estela bravo's documentary is cloyingly hagiographic in its portrait of cuban leader fidel castro , it's still a guilty pleasure to watch .","nonetheless estela bravo's paperwork is cloyingly hagiographic in its portrait of cuban leader fidel castro , it's once a guilty pleasure to watch ."
2,1.0,1.0,0.0,0.9987711906433104,i have a new favorite musical -- and i'm not even a fan of the genre,0.0,0.9987711906433104,i have a new favorite musical -- and i'm not even a fan of the genre,Skipped,,,,,,kuleshov-2,i have a new favorite musical -- and i'm not even a fan of the genre,i have a new favorite musical -- and i'm not even a fan of the genre
3,0.0,299.0,0.0,0.0005148649215698242,it's [[lazy]] for a movie to [[avoid]] [[solving]] one problem by trying to distract us with the solution to another .,0.0,0.3752914071083069,it's [[lethargic]] for a movie to [[evita]] [[resolves]] one problem by trying to distract us with the solution to another .,Successful,0.7200391346486708,0.793614387512207,-45.98916244506836,-42.65602493286133,-3.3331375122070312,kuleshov-3,it's lazy for a movie to avoid solving one problem by trying to distract us with the solution to another .,it's lethargic for a movie to evita resolves one problem by trying to distract us with the solution to another .
4,1.0,221.0,1.0,0.002471745014190674,"[[even]] when he's not at his most critically insightful , godard can [[still]] be smarter than any 50 other filmmakers still at work .",0.0,0.8972935676574707,"[[again]] when he's not at his most critically insightful , godard can [[once]] be smarter than any 50 other filmmakers still at work .",Successful,0.839587623092576,0.948835015296936,-46.79267883300781,-46.87421798706055,0.08153915405273438,kuleshov-4,"even when he's not at his most critically insightful , godard can still be smarter than any 50 other filmmakers still at work .","again when he's not at his most critically insightful , godard can once be smarter than any 50 other filmmakers still at work ."
5,0.0,1.0,1.0,0.993793785572052,"more successful at relating history than in creating an emotionally complex , dramatically satisfying heroine",1.0,0.993793785572052,"more successful at relating history than in creating an emotionally complex , dramatically satisfying heroine",Skipped,,,,,,kuleshov-5,"more successful at relating history than in creating an emotionally complex , dramatically satisfying heroine","more successful at relating history than in creating an emotionally complex , dramatically satisfying heroine"
6,1.0,1.0,0.0,0.998732328414917,it's unlikely we'll see a better thriller this year .,0.0,0.998732328414917,it's unlikely we'll see a better thriller this year .,Skipped,,,,,,kuleshov-6,it's unlikely we'll see a better thriller this year .,it's unlikely we'll see a better thriller this year .
7,1.0,428.0,1.0,0.001867830753326416,"the story [[gives]] [[ample]] opportunity for large-scale action and suspense , which director shekhar kapur [[supplies]] with tremendous [[skill]] .",0.0,0.9538812637329102,"the story [[prescribes]] [[adequate]] opportunity for large-scale action and suspense , which director shekhar kapur [[foodstuffs]] with tremendous [[skills]] .",Successful,0.5871947655901681,0.8600151538848877,-51.189849853515625,-49.26759338378906,-1.9222564697265625,kuleshov-7,"the story gives ample opportunity for large-scale action and suspense , which director shekhar kapur supplies with tremendous skill .","the story prescribes adequate opportunity for large-scale action and suspense , which director shekhar kapur foodstuffs with tremendous skills ."
8,0.0,290.0,0.0,0.0012558698654174805,ultimately this is a [[frustrating]] patchwork : an uneasy marriage of louis begley's source novel ( about schmidt ) and an old payne [[screenplay]] .,1.0,0.9257593154907228,ultimately this is a [[disenchanted]] patchwork : an uneasy marriage of louis begley's source novel ( about schmidt ) and an old payne [[arena]] .,Successful,0.8127596564026885,0.8707290887832642,-52.88700485229492,-53.365779876708984,0.4787750244140625,kuleshov-8,ultimately this is a frustrating patchwork : an uneasy marriage of louis begley's source novel ( about schmidt ) and an old payne screenplay .,ultimately this is a disenchanted patchwork : an uneasy marriage of louis begley's source novel ( about schmidt ) and an old payne arena .
9,0.0,1.0,1.0,0.9787994623184204,the threat implied in the title pokémon 4ever is terrifying  like locusts in a horde these things will keep coming .,1.0,0.9787994623184204,the threat implied in the title pokémon 4ever is terrifying  like locusts in a horde these things will keep coming .,Skipped,,,,,,kuleshov-9,the threat implied in the title pokémon 4ever is terrifying  like locusts in a horde these things will keep coming .,the threat implied in the title pokémon 4ever is terrifying  like locusts in a horde these things will keep coming .
10,0.0,1598.0,0.0,0.0017235279083251953,"some [[writer]] [[dude]] , i [[think]] his [[name]] was , [[uh]] , [[michael]] zaidan , was [[supposed]] to have [[like]] [[written]] the [[screenplay]] or [[something]] , but , [[dude]] , the only [[thing]] that i [[ever]] [[saw]] that was [[written]] down were the [[zeroes]] on my [[paycheck]] .",0.0,0.003363847732543945,"some [[author]] [[man]] , i [[believe]] his [[naming]] was , [[ah]] , [[miguel]] zaidan , was [[suspected]] to have [[genus]] [[typed]] the [[alphabet]] or [[nothing]] , but , [[buddy]] , the only [[somethings]] that i [[already]] [[noted]] that was [[wrote]] down were the [[zeros]] on my [[remuneration]] .",Failed,,,,,,kuleshov-10,"some writer dude , i think his name was , uh , michael zaidan , was supposed to have like written the screenplay or something , but , dude , the only thing that i ever saw that was written down were the zeroes on my paycheck .","some author man , i believe his naming was , ah , miguel zaidan , was suspected to have genus typed the alphabet or nothing , but , buddy , the only somethings that i already noted that was wrote down were the zeros on my remuneration ."
11,0.0,39.0,0.0,0.002691745758056641,a sha-na-na sketch [[punctuated]] with graphic violence .,1.0,0.9972876310348512,a sha-na-na sketch [[thunderous]] with graphic violence .,Successful,0.5,0.8899141550064087,-41.94332504272461,-38.4171028137207,-3.5262222290039062,kuleshov-11,a sha-na-na sketch punctuated with graphic violence .,a sha-na-na sketch thunderous with graphic violence .
12,1.0,376.0,1.0,0.0006294846534729004,"[[like]] the [[series]] , the [[movie]] is [[funny]] , [[smart]] , [[visually]] [[inventive]] , and most of all , [[alive]] .",1.0,0.30729979276657104,"[[similar]] the [[periodicals]] , the [[kino]] is [[odd]] , [[canny]] , [[audiovisual]] [[inventor]] , and most of all , [[inhabit]] .",Successful,0.28411889247027067,0.4110099673271179,-39.56742858886719,-36.845306396484375,-2.7221221923828125,kuleshov-12,"like the series , the movie is funny , smart , visually inventive , and most of all , alive .","similar the periodicals , the kino is odd , canny , audiovisual inventor , and most of all , inhabit ."
13,0.0,249.0,0.0,0.0004807710647583008,perhaps even the slc high command [[found]] writer-director mitch davis's wall of kitsch [[hard]] going .,1.0,0.5027529001235962,perhaps even the slc high command [[discovery]] writer-director mitch davis's wall of kitsch [[dur]] going .,Successful,0.6413865258981679,0.9361869096755981,-53.13253402709961,-54.560543060302734,1.428009033203125,kuleshov-13,perhaps even the slc high command found writer-director mitch davis's wall of kitsch hard going .,perhaps even the slc high command discovery writer-director mitch davis's wall of kitsch dur going .
14,0.0,1.0,0.0,0.37850064039230347,"'es en verdad una pena que mandoki esté realizando cintas tan malas desde hace algún tiempo , pues talento tiene , pero quién sabe dónde lo tiene escondido . '",0.0,0.37850064039230347,"'es en verdad una pena que mandoki esté realizando cintas tan malas desde hace algún tiempo , pues talento tiene , pero quién sabe dónde lo tiene escondido . '",Skipped,,,,,,kuleshov-14,"'es en verdad una pena que mandoki esté realizando cintas tan malas desde hace algún tiempo , pues talento tiene , pero quién sabe dónde lo tiene escondido . '","'es en verdad una pena que mandoki esté realizando cintas tan malas desde hace algún tiempo , pues talento tiene , pero quién sabe dónde lo tiene escondido . '"
15,0.0,108.0,0.0,0.00040739774703979487,the spalding gray [[equivalent]] of a [[teen]] gross-out comedy .,1.0,0.9968824982643129,the spalding gray [[equals]] of a [[youthful]] gross-out comedy .,Successful,0.5773502691896258,0.7953124046325684,-42.6486701965332,-42.402626037597656,-0.24604415893554688,kuleshov-15,the spalding gray equivalent of a teen gross-out comedy .,the spalding gray equals of a youthful gross-out comedy .
16,0.0,39.0,0.0,0.0012192130088806152,all [[mood]] and no [[movie]] .,0.0,0.002108633518218994,all [[vibe]] and no [[cinematography]] .,Failed,,,,,,kuleshov-16,all mood and no movie .,all vibe and no cinematography .
17,1.0,1.0,0.0,0.9993778467178344,"other than the slightly flawed ( and fairly unbelievable ) finale , everything else is top shelf .",0.0,0.9993778467178344,"other than the slightly flawed ( and fairly unbelievable ) finale , everything else is top shelf .",Skipped,,,,,,kuleshov-17,"other than the slightly flawed ( and fairly unbelievable ) finale , everything else is top shelf .","other than the slightly flawed ( and fairly unbelievable ) finale , everything else is top shelf ."
18,1.0,248.0,1.0,0.0019028782844543453,"[[despite]] an [[overwrought]] [[ending]] , the [[film]] [[works]] as [[well]] as it does because of the [[performances]] .",1.0,0.11295360326766968,"[[independently]] an [[edgy]] [[completion]] , the [[filming]] [[conjunction]] as [[okay]] as it does because of the [[performer]] .",Failed,,,,,,kuleshov-18,"despite an overwrought ending , the film works as well as it does because of the performances .","independently an edgy completion , the filming conjunction as okay as it does because of the performer ."
19,1.0,129.0,1.0,0.005985081195831299,connoisseurs of chinese film will be pleased to discover that tian's meticulous talent has not [[withered]] during his enforced hiatus .,0.0,0.9952365159988404,connoisseurs of chinese film will be pleased to discover that tian's meticulous talent has not [[bloomed]] during his enforced hiatus .,Successful,0.8656030552541708,0.9605321288108826,-41.091121673583984,-40.133094787597656,-0.9580268859863281,kuleshov-19,connoisseurs of chinese film will be pleased to discover that tian's meticulous talent has not withered during his enforced hiatus .,connoisseurs of chinese film will be pleased to discover that tian's meticulous talent has not bloomed during his enforced hiatus .
20,0.0,240.0,0.0,0.0005165338516235352,exploring value choices is a worthwhile topic for a film -- but here the choices are as [[contrived]] and [[artificial]] as kerrigan's platinum-blonde hair .,1.0,0.9143601655960084,exploring value choices is a worthwhile topic for a film -- but here the choices are as [[supernatural]] and [[unholy]] as kerrigan's platinum-blonde hair .,Successful,0.8127596564026885,0.8638534545898438,-43.00217819213867,-43.77375030517578,0.7715721130371094,kuleshov-20,exploring value choices is a worthwhile topic for a film -- but here the choices are as contrived and artificial as kerrigan's platinum-blonde hair .,exploring value choices is a worthwhile topic for a film -- but here the choices are as supernatural and unholy as kerrigan's platinum-blonde hair .
21,0.0,241.0,0.0,0.0006580948829650879,a dark comedy that goes for sick and demented humor [[simply]] to do so . the movie is [[without]] intent .,1.0,0.933857560157776,a dark comedy that goes for sick and demented humor [[uncomplicated]] to do so . the movie is [[if]] intent .,Successful,0.7417090125042293,0.9644726514816284,-45.36220932006836,-46.436668395996094,1.0744590759277344,kuleshov-21,a dark comedy that goes for sick and demented humor simply to do so . the movie is without intent .,a dark comedy that goes for sick and demented humor uncomplicated to do so . the movie is if intent .
22,0.0,30.0,0.0,0.05234575271606445,more trifle than [[triumph]] .,1.0,0.975007712841034,more trifle than [[triomphe]] .,Successful,0.6042750794713536,0.9477909207344055,-41.90884780883789,-39.1671257019043,-2.7417221069335938,kuleshov-22,more trifle than triumph .,more trifle than triomphe .
23,0.0,1.0,1.0,0.998518705368042,"entertains not so much because of its music or comic antics , but through the perverse pleasure of watching disney scrape the bottom of its own cracker barrel .",1.0,0.998518705368042,"entertains not so much because of its music or comic antics , but through the perverse pleasure of watching disney scrape the bottom of its own cracker barrel .",Skipped,,,,,,kuleshov-23,"entertains not so much because of its music or comic antics , but through the perverse pleasure of watching disney scrape the bottom of its own cracker barrel .","entertains not so much because of its music or comic antics , but through the perverse pleasure of watching disney scrape the bottom of its own cracker barrel ."
24,0.0,131.0,0.0,0.0006192922592163086,"directed in a [[flashy]] , empty sub-music video style by a director so self-possessed he actually adds a period to his first name",0.0,0.44918155670166016,"directed in a [[brilliant]] , empty sub-music video style by a director so self-possessed he actually adds a period to his first name",Successful,0.8787419089273848,0.9555267691612244,-42.84579086303711,-42.785308837890625,-0.060482025146484375,kuleshov-24,"directed in a flashy , empty sub-music video style by a director so self-possessed he actually adds a period to his first name","directed in a brilliant , empty sub-music video style by a director so self-possessed he actually adds a period to his first name"
25,0.0,649.0,0.0,0.000810086727142334,"the movie is [[concocted]] and carried out by folks worthy of scorn , and the [[nicest]] [[thing]] i can say is that i can't [[remember]] a [[single]] name responsible for it .",1.0,0.9017840027809144,"the movie is [[crafted]] and carried out by folks worthy of scorn , and the [[loveliest]] [[aspect]] i can say is that i can't [[reminisce]] a [[lonely]] name responsible for it .",Successful,0.6453406397088954,0.7996141910552979,-50.25768280029297,-49.61171340942383,-0.6459693908691406,kuleshov-25,"the movie is concocted and carried out by folks worthy of scorn , and the nicest thing i can say is that i can't remember a single name responsible for it .","the movie is crafted and carried out by folks worthy of scorn , and the loveliest aspect i can say is that i can't reminisce a lonely name responsible for it ."
26,0.0,97.0,0.0,0.0010287761688232422,"aptly named , this shimmering , beautifully costumed and filmed production doesn't [[work]] for me .",1.0,0.9983689188957214,"aptly named , this shimmering , beautifully costumed and filmed production doesn't [[labor]] for me .",Successful,0.8153551038173115,0.9110703468322754,-38.85577392578125,-35.670047760009766,-3.1857261657714844,kuleshov-26,"aptly named , this shimmering , beautifully costumed and filmed production doesn't work for me .","aptly named , this shimmering , beautifully costumed and filmed production doesn't labor for me ."
27,1.0,61.0,1.0,0.0006738901138305664,"an enthralling , [[entertaining]] [[feature]] .",1.0,0.002894341945648193,"an enthralling , [[amusement]] [[attribute]] .",Failed,,,,,,kuleshov-27,"an enthralling , entertaining feature .","an enthralling , amusement attribute ."
28,1.0,176.0,1.0,0.0007828474044799805,". . . a [[sweetly]] [[affecting]] story about four sisters who are coping , in one way or another , with life's endgame .",0.0,0.977898895740509,". . . a [[mildly]] [[afflicting]] story about four sisters who are coping , in one way or another , with life's endgame .",Successful,0.839587623092576,0.94339919090271,-35.97346496582031,-35.256385803222656,-0.7170791625976562,kuleshov-28,". . . a sweetly affecting story about four sisters who are coping , in one way or another , with life's endgame .",". . . a mildly afflicting story about four sisters who are coping , in one way or another , with life's endgame ."
29,0.0,96.0,0.0,0.0007968544960021973,a slow-moving police-procedural [[thriller]] that takes its [[title]] all too [[literally]] .,1.0,0.9882780909538268,a slow-moving police-procedural [[gripping]] that takes its [[name]] all too [[hardly]] .,Successful,0.5109955811291784,0.48205649852752686,-50.4418830871582,-45.388954162597656,-5.052928924560547,kuleshov-29,a slow-moving police-procedural thriller that takes its title all too literally .,a slow-moving police-procedural gripping that takes its name all too hardly .
