,ground_truth_output,num_queries,original_output,original_score,original_text,perturbed_output,perturbed_score,perturbed_text,result_type,bleu,sem,acpt_per,acpt_orig,acpt,id,original_text_raw,perturbed_text_raw
0,0.0,40.0,0.0,0.006875574588775635,bears is even [[worse]] than i imagined a movie ever could be .,1.0,0.9993869066238404,bears is even [[greatest]] than i imagined a movie ever could be .,Successful,0.7611606003349892,0.9327935576438904,-40.01078414916992,-39.87664794921875,-0.13413619995117188,textfooler-0,bears is even worse than i imagined a movie ever could be .,bears is even greatest than i imagined a movie ever could be .
1,1.0,142.0,1.0,0.001990973949432373,"although estela bravo's documentary is cloyingly hagiographic in its portrait of cuban leader fidel castro , it's [[still]] a guilty [[pleasure]] to [[watch]] .",0.0,0.8991808891296387,"although estela bravo's documentary is cloyingly hagiographic in its portrait of cuban leader fidel castro , it's [[anyway]] a guilty [[placing]] to [[tracked]] .",Successful,0.7363369840938728,0.9014606475830078,-56.29695129394531,-55.197723388671875,-1.0992279052734375,textfooler-1,"although estela bravo's documentary is cloyingly hagiographic in its portrait of cuban leader fidel castro , it's still a guilty pleasure to watch .","although estela bravo's documentary is cloyingly hagiographic in its portrait of cuban leader fidel castro , it's anyway a guilty placing to tracked ."
2,1.0,1.0,0.0,0.9987711906433104,i have a new favorite musical -- and i'm not even a fan of the genre,0.0,0.9987711906433104,i have a new favorite musical -- and i'm not even a fan of the genre,Skipped,,,,,,textfooler-2,i have a new favorite musical -- and i'm not even a fan of the genre,i have a new favorite musical -- and i'm not even a fan of the genre
3,0.0,119.0,0.0,0.0005148649215698242,it's [[lazy]] for a [[movie]] to avoid [[solving]] one problem by [[trying]] to distract us with the solution to another .,1.0,0.8057265877723694,it's [[shiftless]] for a [[cinematographer]] to avoid [[resolved]] one problem by [[wanting]] to distract us with the solution to another .,Successful,0.510974234946993,0.780218243598938,-46.380409240722656,-44.712669372558594,-1.6677398681640625,textfooler-3,it's lazy for a movie to avoid solving one problem by trying to distract us with the solution to another .,it's shiftless for a cinematographer to avoid resolved one problem by wanting to distract us with the solution to another .
4,1.0,76.0,1.0,0.002471745014190674,"even when he's not at his most critically insightful , godard can [[still]] be smarter than any 50 other [[filmmakers]] still at work .",0.0,0.6480675935745239,"even when he's not at his most critically insightful , godard can [[otherwise]] be smarter than any 50 other [[cameramen]] still at work .",Successful,0.7641254083103469,0.9387072324752808,-46.08758544921875,-45.351722717285156,-0.7358627319335938,textfooler-4,"even when he's not at his most critically insightful , godard can still be smarter than any 50 other filmmakers still at work .","even when he's not at his most critically insightful , godard can otherwise be smarter than any 50 other cameramen still at work ."
5,0.0,1.0,1.0,0.993793785572052,"more successful at relating history than in creating an emotionally complex , dramatically satisfying heroine",1.0,0.993793785572052,"more successful at relating history than in creating an emotionally complex , dramatically satisfying heroine",Skipped,,,,,,textfooler-5,"more successful at relating history than in creating an emotionally complex , dramatically satisfying heroine","more successful at relating history than in creating an emotionally complex , dramatically satisfying heroine"
6,1.0,1.0,0.0,0.998732328414917,it's unlikely we'll see a better thriller this year .,0.0,0.998732328414917,it's unlikely we'll see a better thriller this year .,Skipped,,,,,,textfooler-6,it's unlikely we'll see a better thriller this year .,it's unlikely we'll see a better thriller this year .
7,1.0,176.0,1.0,0.001867830753326416,"the story [[gives]] ample [[opportunity]] for large-scale action and suspense , which director shekhar kapur supplies with [[tremendous]] [[skill]] .",0.0,0.9866936802864076,"the story [[poses]] ample [[hazard]] for large-scale action and suspense , which director shekhar kapur supplies with [[huge]] [[jurisdictional]] .",Successful,0.620882871177762,0.8305510878562927,-51.20801544189453,-49.75267791748047,-1.4553375244140625,textfooler-7,"the story gives ample opportunity for large-scale action and suspense , which director shekhar kapur supplies with tremendous skill .","the story poses ample hazard for large-scale action and suspense , which director shekhar kapur supplies with huge jurisdictional ."
8,0.0,57.0,0.0,0.0012558698654174805,ultimately this is a [[frustrating]] patchwork : an uneasy marriage of louis begley's source novel ( about schmidt ) and an old payne screenplay .,1.0,0.9796515107154846,ultimately this is a [[unnerving]] patchwork : an uneasy marriage of louis begley's source novel ( about schmidt ) and an old payne screenplay .,Successful,0.8895260356363631,0.9756290316581726,-51.05278015136719,-50.86481857299805,-0.18796157836914062,textfooler-8,ultimately this is a frustrating patchwork : an uneasy marriage of louis begley's source novel ( about schmidt ) and an old payne screenplay .,ultimately this is a unnerving patchwork : an uneasy marriage of louis begley's source novel ( about schmidt ) and an old payne screenplay .
9,0.0,1.0,1.0,0.9787994623184204,the threat implied in the title pokémon 4ever is terrifying  like locusts in a horde these things will keep coming .,1.0,0.9787994623184204,the threat implied in the title pokémon 4ever is terrifying  like locusts in a horde these things will keep coming .,Skipped,,,,,,textfooler-9,the threat implied in the title pokémon 4ever is terrifying  like locusts in a horde these things will keep coming .,the threat implied in the title pokémon 4ever is terrifying  like locusts in a horde these things will keep coming .
10,0.0,426.0,0.0,0.0017235279083251953,"some [[writer]] dude , i [[think]] his [[name]] was , [[uh]] , [[michael]] zaidan , was [[supposed]] to [[have]] like [[written]] the [[screenplay]] or something , but , [[dude]] , the only [[thing]] that i ever [[saw]] that was written down were the [[zeroes]] on my paycheck .",0.0,0.005739212036132813,"some [[author]] dude , i [[knew]] his [[title]] was , [[ouais]] , [[micha]] zaidan , was [[doubted]] to [[receive]] like [[printed]] the [[script]] or something , but , [[bro]] , the only [[question]] that i ever [[seemed]] that was written down were the [[zeros]] on my paycheck .",Failed,,,,,,textfooler-10,"some writer dude , i think his name was , uh , michael zaidan , was supposed to have like written the screenplay or something , but , dude , the only thing that i ever saw that was written down were the zeroes on my paycheck .","some author dude , i knew his title was , ouais , micha zaidan , was doubted to receive like printed the script or something , but , bro , the only question that i ever seemed that was written down were the zeros on my paycheck ."
11,0.0,34.0,0.0,0.002691745758056641,a sha-na-na sketch [[punctuated]] with graphic violence .,1.0,0.998981237411499,a sha-na-na sketch [[evoke]] with graphic violence .,Successful,0.5,0.9097926020622253,-40.12333679199219,-38.4171028137207,-1.7062339782714844,textfooler-11,a sha-na-na sketch punctuated with graphic violence .,a sha-na-na sketch evoke with graphic violence .
12,1.0,123.0,1.0,0.0006294846534729004,"[[like]] the [[series]] , the [[movie]] is [[funny]] , [[smart]] , visually [[inventive]] , and most of all , [[alive]] .",0.0,0.998076319694519,"[[analogue]] the [[serials]] , the [[cinematographers]] is [[joke]] , [[reasonable]] , visually [[astute]] , and most of all , [[perennial]] .",Successful,0.3008035665875204,0.44193312525749207,-39.31549072265625,-36.84950637817383,-2.465984344482422,textfooler-12,"like the series , the movie is funny , smart , visually inventive , and most of all , alive .","analogue the serials , the cinematographers is joke , reasonable , visually astute , and most of all , perennial ."
13,0.0,34.0,0.0,0.0004807710647583008,perhaps even the slc high command found writer-director mitch davis's wall of kitsch [[hard]] going .,1.0,0.7272745370864868,perhaps even the slc high command found writer-director mitch davis's wall of kitsch [[ferocious]] going .,Successful,0.8371170098777919,0.9528464078903198,-51.4347038269043,-50.32677459716797,-1.1079292297363281,textfooler-13,perhaps even the slc high command found writer-director mitch davis's wall of kitsch hard going .,perhaps even the slc high command found writer-director mitch davis's wall of kitsch ferocious going .
14,0.0,75.0,0.0,0.37850064039230347,"'es en verdad una pena que mandoki esté realizando cintas tan malas desde hace algún tiempo , [[pues]] talento tiene , pero quién sabe dónde lo tiene escondido . '",1.0,0.5113847851753235,"'es en verdad una pena que mandoki esté realizando cintas tan malas desde hace algún tiempo , [[luego]] talento tiene , pero quién sabe dónde lo tiene escondido . '",Successful,0.9095930632220222,0.9851090312004089,-43.999717712402344,-43.60369873046875,-0.39601898193359375,textfooler-14,"'es en verdad una pena que mandoki esté realizando cintas tan malas desde hace algún tiempo , pues talento tiene , pero quién sabe dónde lo tiene escondido . '","'es en verdad una pena que mandoki esté realizando cintas tan malas desde hace algún tiempo , luego talento tiene , pero quién sabe dónde lo tiene escondido . '"
15,0.0,87.0,0.0,0.00040739774703979487,the spalding [[gray]] [[equivalent]] of a teen gross-out [[comedy]] .,1.0,0.9983342885971068,the spalding [[grays]] [[equals]] of a teen gross-out [[entertaining]] .,Successful,0.32466791547509893,0.7400128841400146,-43.086387634277344,-39.69705581665039,-3.389331817626953,textfooler-15,the spalding gray equivalent of a teen gross-out comedy .,the spalding grays equals of a teen gross-out entertaining .
16,0.0,61.0,0.0,0.0012192130088806152,all [[mood]] and no [[movie]] .,0.0,0.002489805221557617,all [[vibe]] and no [[cinematographers]] .,Failed,,,,,,textfooler-16,all mood and no movie .,all vibe and no cinematographers .
17,1.0,1.0,0.0,0.9993778467178344,"other than the slightly flawed ( and fairly unbelievable ) finale , everything else is top shelf .",0.0,0.9993778467178344,"other than the slightly flawed ( and fairly unbelievable ) finale , everything else is top shelf .",Skipped,,,,,,textfooler-17,"other than the slightly flawed ( and fairly unbelievable ) finale , everything else is top shelf .","other than the slightly flawed ( and fairly unbelievable ) finale , everything else is top shelf ."
18,1.0,190.0,1.0,0.0019028782844543453,"[[despite]] an [[overwrought]] [[ending]] , the film [[works]] as [[well]] as it [[does]] because of the performances .",0.0,0.9986268281936646,"[[albeit]] an [[excitable]] [[conclusion]] , the film [[labor]] as [[satisfactorily]] as it [[could]] because of the performances .",Successful,0.30928520903947526,0.6491299867630005,-41.34162521362305,-45.2431640625,3.901538848876953,textfooler-18,"despite an overwrought ending , the film works as well as it does because of the performances .","albeit an excitable conclusion , the film labor as satisfactorily as it could because of the performances ."
19,1.0,54.0,1.0,0.005985081195831299,connoisseurs of chinese film will be pleased to discover that tian's meticulous talent has not [[withered]] during his enforced hiatus .,0.0,0.956857979297638,connoisseurs of chinese film will be pleased to discover that tian's meticulous talent has not [[moldering]] during his enforced hiatus .,Successful,0.8656030552541708,0.9751091599464417,-41.895503997802734,-40.133094787597656,-1.7624092102050781,textfooler-19,connoisseurs of chinese film will be pleased to discover that tian's meticulous talent has not withered during his enforced hiatus .,connoisseurs of chinese film will be pleased to discover that tian's meticulous talent has not moldering during his enforced hiatus .
20,0.0,158.0,0.0,0.0005165338516235352,exploring value choices is a worthwhile [[topic]] for a film -- but here the [[choices]] are as contrived and [[artificial]] as kerrigan's platinum-blonde [[hair]] .,1.0,0.6430538296699524,exploring value choices is a worthwhile [[subjected]] for a film -- but here the [[choose]] are as contrived and [[contrived]] as kerrigan's platinum-blonde [[toupee]] .,Successful,0.5709225354341892,0.8289698958396912,-51.99087905883789,-49.466209411621094,-2.524669647216797,textfooler-20,exploring value choices is a worthwhile topic for a film -- but here the choices are as contrived and artificial as kerrigan's platinum-blonde hair .,exploring value choices is a worthwhile subjected for a film -- but here the choose are as contrived and contrived as kerrigan's platinum-blonde toupee .
21,0.0,195.0,0.0,0.0006580948829650879,a dark comedy that goes for [[sick]] and [[demented]] humor [[simply]] to do so . the [[movie]] is without [[intent]] .,1.0,0.9974267482757568,a dark comedy that goes for [[psychopathic]] and [[coot]] humor [[honestly]] to do so . the [[film]] is without [[object]] .,Successful,0.4443530419831707,0.8570089340209961,-49.76065444946289,-48.459136962890625,-1.3015174865722656,textfooler-21,a dark comedy that goes for sick and demented humor simply to do so . the movie is without intent .,a dark comedy that goes for psychopathic and coot humor honestly to do so . the film is without object .
22,0.0,55.0,0.0,0.05234575271606445,more trifle than [[triumph]] .,1.0,0.975007712841034,more trifle than [[triomphe]] .,Successful,0.6042750794713536,0.9477909207344055,-41.90884780883789,-39.1671257019043,-2.7417221069335938,textfooler-22,more trifle than triumph .,more trifle than triomphe .
23,0.0,1.0,1.0,0.998518705368042,"entertains not so much because of its music or comic antics , but through the perverse pleasure of watching disney scrape the bottom of its own cracker barrel .",1.0,0.998518705368042,"entertains not so much because of its music or comic antics , but through the perverse pleasure of watching disney scrape the bottom of its own cracker barrel .",Skipped,,,,,,textfooler-23,"entertains not so much because of its music or comic antics , but through the perverse pleasure of watching disney scrape the bottom of its own cracker barrel .","entertains not so much because of its music or comic antics , but through the perverse pleasure of watching disney scrape the bottom of its own cracker barrel ."
24,0.0,152.0,0.0,0.0006192922592163086,"directed in a flashy , empty sub-music video style by a director [[so]] self-possessed he [[actually]] adds a [[period]] to his first name",1.0,0.8794797658920288,"directed in a flashy , empty sub-music video style by a director [[appropriately]] self-possessed he [[incidentally]] adds a [[maturity]] to his first name",Successful,0.6519778692515577,0.8732783794403076,-48.64154815673828,-46.40827560424805,-2.2332725524902344,textfooler-24,"directed in a flashy , empty sub-music video style by a director so self-possessed he actually adds a period to his first name","directed in a flashy , empty sub-music video style by a director appropriately self-possessed he incidentally adds a maturity to his first name"
25,0.0,225.0,0.0,0.000810086727142334,"the [[movie]] is concocted and [[carried]] out by folks worthy of [[scorn]] , and the [[nicest]] [[thing]] i can [[say]] is that i can't remember a single [[name]] responsible for it .",1.0,0.6180236339569092,"the [[filmmakers]] is concocted and [[culminated]] out by folks worthy of [[loathing]] , and the [[sweetest]] [[element]] i can [[affirm]] is that i can't remember a single [[appointed]] responsible for it .",Successful,0.45747273835758023,0.7746449708938599,-51.134700775146484,-46.37187576293945,-4.762825012207031,textfooler-25,"the movie is concocted and carried out by folks worthy of scorn , and the nicest thing i can say is that i can't remember a single name responsible for it .","the filmmakers is concocted and culminated out by folks worthy of loathing , and the sweetest element i can affirm is that i can't remember a single appointed responsible for it ."
26,0.0,64.0,0.0,0.0010287761688232422,"aptly named , this shimmering , beautifully costumed and filmed production doesn't [[work]] for me .",1.0,0.9985336065292358,"aptly named , this shimmering , beautifully costumed and filmed production doesn't [[labour]] for me .",Successful,0.8153551038173115,0.8815021514892578,-38.00077438354492,-35.670047760009766,-2.3307266235351562,textfooler-26,"aptly named , this shimmering , beautifully costumed and filmed production doesn't work for me .","aptly named , this shimmering , beautifully costumed and filmed production doesn't labour for me ."
27,1.0,87.0,1.0,0.0006738901138305664,"an [[enthralling]] , [[entertaining]] [[feature]] .",1.0,0.005575299263000488,"an [[charming]] , [[funny]] [[mannerisms]] .",Failed,,,,,,textfooler-27,"an enthralling , entertaining feature .","an charming , funny mannerisms ."
28,1.0,153.0,1.0,0.0007828474044799805,". . . a [[sweetly]] affecting [[story]] about [[four]] [[sisters]] who are [[coping]] , in one [[way]] or another , with life's endgame .",0.0,0.9976899027824402,". . . a [[awkwardly]] affecting [[tale]] about [[three]] [[fraternal]] who are [[readjust]] , in one [[track]] or another , with life's endgame .",Successful,0.42902556537105646,0.695531964302063,-48.464603424072266,-42.94059371948242,-5.524009704589844,textfooler-28,". . . a sweetly affecting story about four sisters who are coping , in one way or another , with life's endgame .",". . . a awkwardly affecting tale about three fraternal who are readjust , in one track or another , with life's endgame ."
29,0.0,57.0,0.0,0.0007968544960021973,a slow-moving police-procedural [[thriller]] that takes its [[title]] all too [[literally]] .,1.0,0.9882780909538268,a slow-moving police-procedural [[gripping]] that takes its [[name]] all too [[hardly]] .,Successful,0.5109955811291784,0.48205649852752686,-50.4418830871582,-45.388954162597656,-5.052928924560547,textfooler-29,a slow-moving police-procedural thriller that takes its title all too literally .,a slow-moving police-procedural gripping that takes its name all too hardly .
30,1.0,228.0,1.0,0.0011655688285827635,the engagingly [[primitive]] [[animated]] [[special]] effects contribute to a [[mood]] that's [[sustained]] through the surprisingly [[somber]] [[conclusion]] .,0.0,0.9940778017044068,the engagingly [[rough]] [[boosted]] [[sole]] effects contribute to a [[lighthearted]] that's [[protracted]] through the surprisingly [[disappointing]] [[shuts]] .,Successful,0.22786788980326644,0.5325798988342285,-50.78105545043945,-53.5833854675293,2.8023300170898438,textfooler-30,the engagingly primitive animated special effects contribute to a mood that's sustained through the surprisingly somber conclusion .,the engagingly rough boosted sole effects contribute to a lighthearted that's protracted through the surprisingly disappointing shuts .
31,0.0,164.0,0.0,0.0012325048446655273,"it [[should]] be [[doing]] a [[lot]] of [[things]] , but doesn't .",1.0,0.7333518266677856,"it [[would]] be [[taking]] a [[fate]] of [[lawsuits]] , but doesn't .",Successful,0.2521193618434983,0.3750862181186676,-39.539268493652344,-31.372976303100586,-8.166292190551758,textfooler-31,"it should be doing a lot of things , but doesn't .","it would be taking a fate of lawsuits , but doesn't ."
32,0.0,1.0,1.0,0.9887146949768066,"according to wendigo , 'nature' loves the members of the upper class almost as much as they love themselves .",1.0,0.9887146949768066,"according to wendigo , 'nature' loves the members of the upper class almost as much as they love themselves .",Skipped,,,,,,textfooler-32,"according to wendigo , 'nature' loves the members of the upper class almost as much as they love themselves .","according to wendigo , 'nature' loves the members of the upper class almost as much as they love themselves ."
33,1.0,1.0,0.0,0.933979868888855,"i've yet to find an actual vietnam war combat movie actually produced by either the north or south vietnamese , but at least now we've got something pretty damn close .",0.0,0.933979868888855,"i've yet to find an actual vietnam war combat movie actually produced by either the north or south vietnamese , but at least now we've got something pretty damn close .",Skipped,,,,,,textfooler-33,"i've yet to find an actual vietnam war combat movie actually produced by either the north or south vietnamese , but at least now we've got something pretty damn close .","i've yet to find an actual vietnam war combat movie actually produced by either the north or south vietnamese , but at least now we've got something pretty damn close ."
34,0.0,148.0,0.0,0.0012367963790893555,'[[opening]] up' the [[play]] more [[has]] [[partly]] [[closed]] it down .,0.0,0.0022178292274475093,'[[opened]] up' the [[toys]] more [[maintains]] [[partially]] [[closest]] it down .,Failed,,,,,,textfooler-34,'opening up' the play more has partly closed it down .,'opened up' the toys more maintains partially closest it down .
35,0.0,176.0,0.0,0.000577092170715332,the rules of attraction [[gets]] us too [[drunk]] on the party [[favors]] to sober us up with the transparent [[attempts]] at moralizing .,1.0,0.9988514184951782,the rules of attraction [[recieve]] us too [[alcoholism]] on the party [[promotes]] to sober us up with the transparent [[initiative]] at moralizing .,Successful,0.4871622030691689,0.8344593048095703,-53.34926223754883,-50.29252243041992,-3.0567398071289062,textfooler-35,the rules of attraction gets us too drunk on the party favors to sober us up with the transparent attempts at moralizing .,the rules of attraction recieve us too alcoholism on the party promotes to sober us up with the transparent initiative at moralizing .
36,1.0,1.0,0.0,0.9601516723632812,"leigh isn't breaking new ground , but he knows how a daily grind can kill love .",0.0,0.9601516723632812,"leigh isn't breaking new ground , but he knows how a daily grind can kill love .",Skipped,,,,,,textfooler-36,"leigh isn't breaking new ground , but he knows how a daily grind can kill love .","leigh isn't breaking new ground , but he knows how a daily grind can kill love ."
37,1.0,1.0,0.0,0.996775448322296,"it was filled with shootings , beatings , and more cussing than you could shake a stick at .",0.0,0.996775448322296,"it was filled with shootings , beatings , and more cussing than you could shake a stick at .",Skipped,,,,,,textfooler-37,"it was filled with shootings , beatings , and more cussing than you could shake a stick at .","it was filled with shootings , beatings , and more cussing than you could shake a stick at ."
38,0.0,79.0,0.0,0.0007140040397644043,"it has the right approach and the right opening premise , but it [[lacks]] the zest and it goes for a plot twist [[instead]] of trusting the material .",1.0,0.9896022081375122,"it has the right approach and the right opening premise , but it [[dearth]] the zest and it goes for a plot twist [[yet]] of trusting the material .",Successful,0.8096427216101598,0.9428132176399231,-46.80438995361328,-41.91851806640625,-4.885871887207031,textfooler-38,"it has the right approach and the right opening premise , but it lacks the zest and it goes for a plot twist instead of trusting the material .","it has the right approach and the right opening premise , but it dearth the zest and it goes for a plot twist yet of trusting the material ."
39,0.0,47.0,0.0,0.0014889836311340332,"ninety minutes of viva castro ! can be as [[tiresome]] as 9 seconds of jesse helms' anti- castro rhetoric , which are included",1.0,0.8365101218223572,"ninety minutes of viva castro ! can be as [[uninspiring]] as 9 seconds of jesse helms' anti- castro rhetoric , which are included",Successful,0.8787419089273848,0.9829075932502747,-47.272945404052734,-48.89985656738281,1.6269111633300781,textfooler-39,"ninety minutes of viva castro ! can be as tiresome as 9 seconds of jesse helms' anti- castro rhetoric , which are included","ninety minutes of viva castro ! can be as uninspiring as 9 seconds of jesse helms' anti- castro rhetoric , which are included"
40,1.0,59.0,1.0,0.0014795660972595215,"an enormously [[entertaining]] movie , like nothing we've ever seen before , and yet completely familiar .",0.0,0.9987701773643494,"an enormously [[fooling]] movie , like nothing we've ever seen before , and yet completely familiar .",Successful,0.848219861937046,0.9159148931503296,-34.53239059448242,-33.56646728515625,-0.9659233093261719,textfooler-40,"an enormously entertaining movie , like nothing we've ever seen before , and yet completely familiar .","an enormously fooling movie , like nothing we've ever seen before , and yet completely familiar ."
