,Unnamed: 0,ground_truth_output,num_queries,original_output,original_score,original_text,perturbed_output,perturbed_score,perturbed_text,result_type,bleu,sem,acpt_per,acpt_orig,acpt,id,original_text_raw,perturbed_text_raw
294,294,0.0,71.0,0.0,0.003731250762939453,supposedly [[authentic]] account of a [[historical]] [[event]] that's far too tragic to [[merit]] such [[superficial]] treatment .,1.0,0.808984637260437,supposedly [[reliable]] account of a [[diachronic]] [[case]] that's far too tragic to [[deservingness]] such [[trivial]] treatment .,Successful,0.32934059711691804,0.6271299123764038,-45.61828994750977,-48.5357437133789,2.9174537658691406,pwws-294,supposedly authentic account of a historical event that's far too tragic to merit such superficial treatment .,supposedly reliable account of a diachronic case that's far too tragic to deservingness such trivial treatment .
281,281,1.0,279.0,1.0,0.1222321391105652,an odd drama set in the world of lingerie models and bar dancers in the midwest that [[held]] my interest precisely because it didn't try to .,0.0,0.999318540096283,an odd drama set in the world of lingerie models and bar dancers in the midwest that [[defy]] my interest precisely because it didn't try to .,Successful,0.8985396083419646,0.9745299220085144,-40.1916618347168,-38.57158279418945,-1.6200790405273438,pwws-281,an odd drama set in the world of lingerie models and bar dancers in the midwest that held my interest precisely because it didn't try to .,an odd drama set in the world of lingerie models and bar dancers in the midwest that defy my interest precisely because it didn't try to .
24,24,0.0,192.0,0.0,0.0006192922592163086,"[[directed]] in a flashy , [[empty]] sub-music video style by a director so [[self-possessed]] he actually adds a period to his first name",1.0,0.9793698787689208,"[[steer]] in a flashy , [[discharge]] sub-music video style by a director so [[poised]] he actually adds a period to his first name",Successful,0.7045307573858761,0.8661437034606934,-47.78375244140625,-45.2514762878418,-2.532276153564453,pwws-24,"directed in a flashy , empty sub-music video style by a director so self-possessed he actually adds a period to his first name","steer in a flashy , discharge sub-music video style by a director so poised he actually adds a period to his first name"
52,52,1.0,137.0,1.0,0.004357814788818359,one of [jaglom's] better efforts -- a [[wry]] and sometime bitter movie about love .,0.0,0.9989640116691588,one of [jaglom's] better efforts -- a [[dry]] and sometime bitter movie about love .,Successful,0.8003203203844999,0.9384014010429382,-42.31726837158203,-43.25901794433594,0.9417495727539062,pwws-52,one of [jaglom's] better efforts -- a wry and sometime bitter movie about love .,one of [jaglom's] better efforts -- a dry and sometime bitter movie about love .
580,580,1.0,105.0,1.0,0.0006344914436340332,writer/ [[director]] m . night shyamalan's ability to [[pull]] together easily [[accessible]] stories that resonate with [[profundity]] is undeniable .,0.0,0.6521925926208496,writer/ [[manager]] m . night shyamalan's ability to [[overstretch]] together easily [[approachable]] stories that resonate with [[abstrusity]] is undeniable .,Successful,0.4537236519735976,0.8485854864120483,-57.96671676635742,-54.458984375,-3.507732391357422,pwws-580,writer/ director m . night shyamalan's ability to pull together easily accessible stories that resonate with profundity is undeniable .,writer/ manager m . night shyamalan's ability to overstretch together easily approachable stories that resonate with abstrusity is undeniable .
468,468,1.0,74.0,1.0,0.004064083099365234,the film truly does rescue [the funk brothers] from motown's shadows . it's about [[time]] .,0.0,0.9982585310935974,the film truly does rescue [the funk brothers] from motown's shadows . it's about [[meter]] .,Successful,0.8761560783209453,0.8950949907302856,-42.48993682861328,-41.744232177734375,-0.7457046508789062,pwws-468,the film truly does rescue [the funk brothers] from motown's shadows . it's about time .,the film truly does rescue [the funk brothers] from motown's shadows . it's about meter .
445,445,0.0,159.0,0.0,0.002074599266052246,"i walked [[away]] not really [[know]] who "" they "" were , what "" they "" looked like . why "" they "" were here and what "" they "" [[wanted]] and quite honestly , i didn't [[care]] .",1.0,0.6765862703323364,"i walked [[forth]] not really [[hump]] who "" they "" were , what "" they "" looked like . why "" they "" were here and what "" they "" [[cherished]] and quite honestly , i didn't [[worry]] .",Successful,0.7590237496543616,0.7919396162033081,-37.52745056152344,-35.426856994628906,-2.1005935668945312,pwws-445,"i walked away not really know who "" they "" were , what "" they "" looked like . why "" they "" were here and what "" they "" wanted and quite honestly , i didn't care .","i walked forth not really hump who "" they "" were , what "" they "" looked like . why "" they "" were here and what "" they "" cherished and quite honestly , i didn't worry ."
1029,1029,0.0,76.0,0.0,0.0008469820022583008,[[suffers]] from unlikable characters and a self-conscious sense of its own quirky hipness .,1.0,0.9869396686553956,[[support]] from unlikable characters and a self-conscious sense of its own quirky hipness .,Successful,0.9193227152249184,0.8876230716705322,-37.367618560791016,-34.51839828491211,-2.8492202758789062,pwws-1029,suffers from unlikable characters and a self-conscious sense of its own quirky hipness .,support from unlikable characters and a self-conscious sense of its own quirky hipness .
696,696,1.0,64.0,1.0,0.0011178851127624512,a [[deliciously]] nonsensical comedy about a city coming apart at its seams .,0.0,0.999596118927002,a [[lusciously]] nonsensical comedy about a city coming apart at its seams .,Successful,0.842362674378975,0.9661601781845092,-38.73717498779297,-37.83523178100586,-0.9019432067871094,pwws-696,a deliciously nonsensical comedy about a city coming apart at its seams .,a lusciously nonsensical comedy about a city coming apart at its seams .
46,46,1.0,127.0,1.0,0.0009569525718688963,"the story itself it mostly told through on-camera interviews with several survivors , whose riveting memories are rendered with such [[clarity]] that it's as if it all happened only yesterday .",0.0,0.9842563271522522,"the story itself it mostly told through on-camera interviews with several survivors , whose riveting memories are rendered with such [[limpidity]] that it's as if it all happened only yesterday .",Successful,0.9127592114472296,0.9770708084106444,-39.2615852355957,-37.78559875488281,-1.4759864807128906,pwws-46,"the story itself it mostly told through on-camera interviews with several survivors , whose riveting memories are rendered with such clarity that it's as if it all happened only yesterday .","the story itself it mostly told through on-camera interviews with several survivors , whose riveting memories are rendered with such limpidity that it's as if it all happened only yesterday ."
