,Unnamed: 0,ground_truth_output,num_queries,original_output,original_score,original_text,perturbed_output,perturbed_score,perturbed_text,result_type,bleu,sem,acpt_per,acpt_orig,acpt,id,original_text_raw,perturbed_text_raw
1025,1025,1.0,158.0,1.0,0.0011772513389587402,"[[like]] brosnan's performance , evelyn comes from the [[heart]] .",0.0,0.9980348348617554,"[[adores]] brosnan's performance , evelyn comes from the [[nub]] .",Successful,0.6606328636027614,0.7207225561141968,-44.70676803588867,-45.31287002563477,0.6061019897460938,iga-1025,"like brosnan's performance , evelyn comes from the heart .","adores brosnan's performance , evelyn comes from the nub ."
182,182,1.0,20.0,1.0,0.005597412586212158,"i'm [[happy]] to have seen it -- not as an alternate version , but as the ultimate exercise in viewing deleted scenes .",0.0,0.982134222984314,"i'm [[fortunately]] to have seen it -- not as an alternate version , but as the ultimate exercise in viewing deleted scenes .",Successful,0.9173176373893104,0.968519926071167,-33.12255477905273,-32.27748870849609,-0.8450660705566406,iga-182,"i'm happy to have seen it -- not as an alternate version , but as the ultimate exercise in viewing deleted scenes .","i'm fortunately to have seen it -- not as an alternate version , but as the ultimate exercise in viewing deleted scenes ."
168,168,1.0,1823.0,1.0,0.0037823319435119633,"another in a [[long]] [[line]] of ultra-violent war movies , this one is not [[quite]] what it [[could]] have been as a [[film]] , but the story and theme [[make]] up for it .",0.0,0.9480680227279664,"another in a [[protracted]] [[iine]] of ultra-violent war movies , this one is not [[enough]] what it [[wo]] have been as a [[cinematography]] , but the story and theme [[rendered]] up for it .",Successful,0.5586595313708717,0.848601222038269,-51.3122444152832,-44.98583984375,-6.326404571533202,iga-168,"another in a long line of ultra-violent war movies , this one is not quite what it could have been as a film , but the story and theme make up for it .","another in a protracted iine of ultra-violent war movies , this one is not enough what it wo have been as a cinematography , but the story and theme rendered up for it ."
25,25,0.0,2267.0,0.0,0.000810086727142334,"the [[movie]] is concocted and [[carried]] out by folks [[worthy]] of [[scorn]] , and the [[nicest]] thing i can say is that i can't remember a [[single]] name responsible for it .",1.0,0.6080663204193115,"the [[kino]] is concocted and [[presented]] out by folks [[commendable]] of [[disrespect]] , and the [[happiest]] thing i can say is that i can't remember a [[lonely]] name responsible for it .",Successful,0.5182229501122269,0.5936064720153809,-47.5587043762207,-46.79606628417969,-0.7626380920410156,iga-25,"the movie is concocted and carried out by folks worthy of scorn , and the nicest thing i can say is that i can't remember a single name responsible for it .","the kino is concocted and presented out by folks commendable of disrespect , and the happiest thing i can say is that i can't remember a lonely name responsible for it ."
388,388,0.0,744.0,0.0,0.0006533265113830566,a [[porn]] film [[without]] the sex scenes .,1.0,0.7785820960998535,a [[salacious]] film [[if]] the sex scenes .,Successful,0.3826029416278448,0.8139329552650452,-40.04726791381836,-38.70555114746094,-1.341716766357422,iga-388,a porn film without the sex scenes .,a salacious film if the sex scenes .
156,156,1.0,666.0,1.0,0.000615239143371582,a movie of [[riveting]] power and [[sadness]] .,0.0,0.9938242435455322,a movie of [[inspirational]] power and [[disappointment]] .,Successful,0.4810977290978807,0.7336843013763428,-36.38987731933594,-35.09293365478516,-1.2969436645507812,iga-156,a movie of riveting power and sadness .,a movie of inspirational power and disappointment .
406,406,1.0,334.0,1.0,0.0016077160835266113,"lovingly [[photographed]] in the [[manner]] of a golden book sprung to life , stuart little 2 [[manages]] sweetness largely without stickiness .",0.0,0.9807325601577759,"lovingly [[pictured]] in the [[method]] of a golden book sprung to life , stuart little 2 [[administering]] sweetness largely without stickiness .",Successful,0.6643548861507491,0.916439652442932,-53.513954162597656,-53.13851165771485,-0.3754425048828125,iga-406,"lovingly photographed in the manner of a golden book sprung to life , stuart little 2 manages sweetness largely without stickiness .","lovingly pictured in the method of a golden book sprung to life , stuart little 2 administering sweetness largely without stickiness ."
574,574,1.0,139.0,1.0,0.0035333633422851562,"for those who [[like]] [[quirky]] , slightly strange french films , this is a must !",0.0,0.9016584157943726,"for those who [[analogous]] [[lunatic]] , slightly strange french films , this is a must !",Successful,0.7447819789879647,0.8159501552581787,-43.119239807128906,-39.468528747558594,-3.650711059570313,iga-574,"for those who like quirky , slightly strange french films , this is a must !","for those who analogous lunatic , slightly strange french films , this is a must !"
801,801,0.0,168.0,0.0,0.0013172030448913574,"ultimately , sarah's dedication to finding her husband seems more psychotic than romantic , and [[nothing]] in the movie makes a convincing case that one woman's broken heart outweighs all the loss we witness .",1.0,0.9926031231880188,"ultimately , sarah's dedication to finding her husband seems more psychotic than romantic , and [[rien]] in the movie makes a convincing case that one woman's broken heart outweighs all the loss we witness .",Successful,0.9234732618882052,0.9926486015319824,-39.6588020324707,-39.41018676757813,-0.2486152648925781,iga-801,"ultimately , sarah's dedication to finding her husband seems more psychotic than romantic , and nothing in the movie makes a convincing case that one woman's broken heart outweighs all the loss we witness .","ultimately , sarah's dedication to finding her husband seems more psychotic than romantic , and rien in the movie makes a convincing case that one woman's broken heart outweighs all the loss we witness ."
664,664,1.0,348.0,1.0,0.020124971866607663,"though the aboriginal aspect lends the ending an [[extraordinary]] poignancy , and the story itself [[could]] be played out in any working class community in the nation .",0.0,0.5723549127578735,"though the aboriginal aspect lends the ending an [[funky]] poignancy , and the story itself [[did]] be played out in any working class community in the nation .",Successful,0.8020219183488043,0.916250467300415,-45.8824234008789,-44.09784698486328,-1.784576416015625,iga-664,"though the aboriginal aspect lends the ending an extraordinary poignancy , and the story itself could be played out in any working class community in the nation .","though the aboriginal aspect lends the ending an funky poignancy , and the story itself did be played out in any working class community in the nation ."
